cand_id,parents,rank,distance,yield,irrigation,smts,max_irr_season
6_5,"['5_24', '5_24']",1,inf,14.37628367793729,-255.0,"[55.65144, 61.28503, 34.125454, 38.46341]",255.34332275390625
6_2,"['4_46', '4_46']",1,inf,12.887766320425655,-101.63423919677734,"[65.593185, 50.0764, 40.198936, 56.984383]",101.63423919677734
5_31,"['4_64', '4_85']",1,0.26312005971156704,13.136696292182513,-104.27509307861328,"[64.534676, 42.046295, 47.818264, 54.456776]",104.27509307861328
4_46,"['2_17', '3_68']",1,0.18073710475029844,12.903029921785697,-102.21194458007812,"[65.56824, 50.553, 40.230484, 57.669113]",102.21194458007812
6_0,"['5_47', '5_4']",1,0.1211481200793936,13.214279358991972,-112.77640533447266,"[57.975204, 57.719814, 43.21226, 51.773674]",112.77640533447266
6_66,"['5_17', '5_47']",1,0.0662483540554406,14.154811204397635,-178.25445556640625,"[46.88604, 59.18118, 44.050426, 56.5853]",178.25445556640625
6_71,"['5_4', '5_83']",1,0.04894182761631978,13.778935640437707,-133.66827392578125,"[31.135794, 59.444725, 52.06783, 45.468163]",133.66827392578125
6_15,"['5_24', '5_72']",1,0.043288458708913444,14.365057295843755,-213.7616424560547,"[56.704475, 62.727398, 37.926083, 44.9356]",213.7616424560547
6_14,"['5_25', '5_54']",1,0.04155855057832432,14.071618651946013,-165.64205932617188,"[45.37806, 55.315704, 29.68457, 46.936134]",165.64205932617188
1_6,"['0_62', '0_43']",1,0.041350031870693506,14.375770942677626,-231.23583984375,"[58.550114, 54.067135, 35.16738, 52.634274]",231.23583984375
6_85,"['3_52', '5_24']",1,0.037640657043905464,14.251403395650883,-197.03248596191406,"[51.35513, 53.756287, 39.031498, 48.181183]",197.03248596191406
6_83,"['4_46', '5_2']",1,0.03457184642017412,13.861677843663779,-135.8546600341797,"[43.60043, 50.246494, 57.31927, 55.26275]",135.8546600341797
6_35,"['4_47', '4_79']",1,0.02903997101739078,14.11202125572932,-171.8000946044922,"[40.05214, 52.604465, 34.73573, 52.309303]",171.8000946044922
6_73,"['4_46', '5_2']",1,0.025081637818676984,13.674558205241787,-114.24505615234375,"[40.40752, 56.941444, 51.570763, 54.840374]",114.24505615234375
4_47,"['3_49', '3_56']",1,0.022531783746855643,14.31609316655612,-208.14068603515625,"[48.56398, 55.17163, 34.486015, 51.715755]",208.14068603515625
5_83,"['4_43', '4_0']",1,0.01953861524909746,13.692087502899366,-125.05453491210938,"[33.986485, 47.292374, 49.400127, 55.784397]",125.05453491210938
6_24,"['5_35', '4_46']",1,0.015285805944858441,14.248007377957036,-186.01748657226562,"[55.98294, 56.54494, 35.46457, 54.780144]",186.01748657226562
6_76,"['3_52', '3_52']",1,0.015123207735293867,14.009968684101011,-147.53720092773438,"[41.076817, 62.454033, 37.62539, 57.849346]",147.53720092773438
6_64,"['5_69', '5_25']",1,0.014947897201249689,13.75104467393884,-125.50807189941406,"[34.768143, 61.21248, 42.570805, 54.98842]",125.50807189941406
6_20,"['5_69', '5_69']",1,0.013276637947888463,13.876695567613599,-141.8139190673828,"[44.46695, 58.661385, 44.661705, 57.405125]",141.8139190673828
