cand_id,parents,rank,distance,yield,irr
26_9,"['21_43', '21_43']",1,inf,14.352371771926144,-451.0
32_58,"['29_86', '29_86']",1,inf,10.883161152545302,-0.0
43_9,"['42_1', '42_60']",1,0.07937361644199872,14.031716961393816,-233.25
40_77,"['39_27', '26_9']",1,0.06319305548203524,11.59409675700857,-89.5
43_50,"['42_10', '26_9']",1,0.05276613139563453,14.33700800835056,-428.75
43_37,"['42_65', '32_58']",1,0.05275773207414675,11.275707174350767,-30.25
43_2,"['42_10', '42_76']",1,0.04414391707773343,13.85669624344435,-201.5
42_2,"['26_9', '41_22']",1,0.04124285055946722,11.816153325792712,-109.0
42_60,"['41_24', '41_24']",1,0.032029404407938326,14.24477081296422,-293.25
43_6,"['42_20', '42_60']",1,0.029077022095765535,11.898754953025117,-120.375
40_41,"['38_84', '38_84']",1,0.02785620293566581,12.256834872839052,-125.625
43_5,"['41_24', '42_17']",1,0.024698454622223143,14.263625338664315,-301.25
43_42,"['42_67', '42_1']",1,0.02359183082038977,12.0410341071733,-122.625
42_76,"['41_65', '41_47']",1,0.02308885701082828,12.67573666552293,-139.125
43_53,"['42_1', '42_76']",1,0.023042009441436993,13.473178851663144,-165.25
43_29,"['40_77', '40_77']",1,0.02193961002519315,11.51175617778721,-82.5
43_87,"['42_1', '42_20']",1,0.021704299811121715,12.555737299981578,-129.0
43_64,"['41_24', '42_76']",1,0.021641150142363164,13.943187963718334,-227.25
42_1,"['41_37', '41_83']",1,0.021043712034573992,13.233329081173144,-152.75
42_18,"['40_41', '41_21']",1,0.020790111303712173,12.497311588197016,-126.0
43_47,"['41_24', '40_41']",1,0.017872345160516882,13.68606741051138,-190.0
43_74,"['40_48', '41_24']",1,0.01737624159048718,12.951750339786447,-144.5
43_67,"['42_17', '42_60']",1,0.01703425642550197,14.31915628095832,-340.5
43_18,"['42_18', '40_41']",1,0.016464207269532866,12.19787620225504,-123.0
43_76,"['42_60', '41_24']",1,0.014292479948774878,14.179978102128402,-270.25
43_14,"['40_41', '42_1']",1,0.01217986941514344,13.02788706569613,-146.25
41_24,"['39_39', '40_72']",1,0.011916620011932206,14.199450750303868,-280.25
43_54,"['42_18', '42_40']",1,0.010317938770304309,13.418224645166049,-163.125
43_40,"['42_1', '41_24']",2,0.05334375809061403,13.275139585349,-167.0
43_81,"['42_87', '26_9']",2,0.0529060318925534,14.25975316104994,-416.75
43_41,"['26_9', '41_24']",2,0.048066562039041485,14.30719824478157,-440.75
43_30,"['42_10', '41_24']",2,0.03978000913881104,14.206795809795356,-390.75
43_17,"['40_41', '26_9']",2,0.039720729229635335,13.627655253047271,-191.125
43_43,"['42_2', '42_1']",2,0.038298270415269495,11.046634514325547,-74.25
43_12,"['42_76', '42_18']",2,0.03503819212878251,11.411728995052453,-111.75
43_86,"['42_39', '42_1']",2,0.030523848677930225,14.139387309693245,-280.75
43_82,"['42_76', '42_40']",2,0.027204829761406906,13.208868532445326,-156.125
43_52,"['40_41', '42_60']",2,0.025626223899606296,14.204583418187246,-305.25
43_39,"['42_67', '42_36']",2,0.025419829691526147,9.824907024936186,-0.0
43_45,"['42_17', '42_82']",2,0.025207503762697633,14.254221337005703,-393.0
43_66,"['42_82', '32_58']",2,0.01811353430113578,10.286655033066134,-0.5
43_78,"['42_18', '42_76']",2,0.01692843795813264,12.922725743485099,-148.125
43_24,"['26_9', '42_1']",2,0.016243061526172997,13.665782798549657,-220.75
43_1,"['42_37', '40_77']",2,0.015714984644493554,10.863966109504652,-6.75
43_60,"['42_76', '42_76']",2,0.014321026827193982,12.508977281506304,-133.125
43_33,"['40_41', '42_39']",2,0.012223722058304968,11.89785266705897,-123.375
43_20,"['40_77', '42_22']",2,0.011942011774541648,10.845760298623674,-1.0
43_89,"['40_41', '40_41']",2,0.011073952051149284,12.223390239998027,-126.0
43_84,"['42_64', '41_24']",2,0.009389048037770556,10.865804938128935,-32.5
43_23,"['42_87', '42_82']",2,0.009154584347635305,14.138216635229323,-272.0
43_26,"['40_41', '42_1']",2,0.007994468011760143,13.221783363868312,-162.625
43_0,"['26_9', '42_60']",3,inf,14.298790518880619,-479.5
43_16,"['42_22', '42_76']",3,0.15666161490129565,7.960938985901203,-4.0
43_72,"['42_76', '26_9']",3,0.07033185405235445,14.112142891980298,-373.25
43_71,"['26_9', '42_60']",3,0.06231021372867643,14.281267296952825,-467.25
43_70,"['42_2', '42_18']",3,0.05930160557348855,13.791992003222088,-313.25
43_10,"['42_1', '42_22']",3,0.05331157154226797,10.442265989510993,-39.5
43_3,"['42_44', '42_36']",3,0.05055903015841941,10.807145438887575,-51.25
43_68,"['26_9', '40_77']",3,0.03237028416941275,14.123061774578137,-403.75
43_63,"['42_18', '42_83']",3,0.01791601442746316,13.04197631922715,-159.75
43_25,"['40_77', '42_64']",3,0.01740715295098502,10.420600378461879,-31.25
43_77,"['42_22', '26_9']",3,0.017099893702324974,11.976144809674281,-158.75
43_51,"['42_18', '26_9']",3,0.01557561002851211,13.968588778467582,-337.5
43_44,"['42_37', '40_41']",3,0.011888450932734983,10.17075561713517,-11.0
43_85,"['26_9', '32_58']",4,inf,2.1137691811079513,-10.75
43_56,"['40_77', '42_10']",4,0.06702541373641988,13.907920749413051,-357.75
43_31,"['42_39', '42_57']",4,0.05297824373362916,13.444557500686026,-327.0
43_73,"['42_67', '26_9']",4,0.04552080199223906,12.595941850153773,-184.875
43_11,"['40_77', '32_58']",4,0.045320168694019336,10.731457647271618,-60.75
43_35,"['26_9', '42_1']",4,0.03530106684830442,12.88495013254647,-207.75
43_15,"['42_36', '42_57']",4,0.03161434754777803,10.073380231758314,-11.0
43_36,"['40_77', '42_20']",4,0.02776788732846567,14.104579467833526,-402.25
43_8,"['42_22', '26_9']",4,0.01530843674828766,10.769366533869363,-85.5
43_69,"['42_76', '26_9']",4,0.011994381180339535,12.647041220127921,-185.25
43_58,"['42_67', '42_2']",4,0.01064588675322246,14.046682270033136,-390.75
43_62,"['40_77', '42_57']",5,0.07811690054199195,12.50170540444409,-267.5
43_83,"['42_10', '32_58']",5,0.05295313747649157,9.918001057075564,-18.75
43_4,"['40_41', '42_67']",5,0.043384200746830776,10.715613139279649,-103.875
43_7,"['42_76', '42_22']",5,0.03358910085083468,13.385279997739683,-336.5
43_32,"['26_9', '42_37']",5,0.025870226179036185,10.998417432022045,-232.5
43_79,"['42_18', '42_36']",5,0.006389051854156067,10.679215722127005,-81.75
43_59,"['32_58', '42_2']",6,0.05540142989142409,9.409249037360189,-35.0
43_80,"['41_24', '40_77']",6,0.0421960049144707,12.963101846553613,-344.5
43_48,"['42_39', '40_77']",6,0.032906778218828196,9.619659701501325,-85.125
43_49,"['42_64', '42_82']",6,0.029521266420169903,10.224439706528385,-208.75
43_21,"['42_36', '26_9']",6,0.027798208604551296,11.37326948210814,-294.25
43_75,"['40_77', '42_67']",6,0.022953895365599643,9.477111663623516,-81.0
43_28,"['32_58', '42_60']",6,0.01131600766492619,10.69820733552945,-274.0
43_55,"['42_36', '40_48']",6,0.008296779059502851,10.212497339171184,-147.25
43_61,"['40_41', '42_37']",7,0.07891236826189717,8.167564032697907,-158.75
43_46,"['42_57', '40_77']",7,0.043473256892493,8.037487872707727,-70.875
43_19,"['32_58', '41_24']",7,0.03239525950833094,10.658299782794193,-276.0
43_88,"['40_41', '42_88']",7,0.018691655454806236,9.981648669502672,-160.25
43_27,"['42_82', '42_2']",8,0.16202501552858806,6.2669297630812135,-139.5
43_57,"['42_76', '32_58']",8,0.11988256724973846,4.770934776022507,-73.5
43_65,"['42_2', '42_1']",8,0.11136258858325677,8.977741311472121,-187.5
