cand_id,parents,rank,distance,yield,irr,mulch
17_55,"['16_44', '16_78']",1,inf,13.999325485941608,-625.9090909090909,0.0
16_44,"['13_32', '15_81']",1,inf,14.120680951825062,-636.1363636363636,0.04978798736225475
15_26,"['13_86', '14_38']",1,inf,14.22094881824995,-619.0909090909091,0.20834406397559427
17_30,"['15_30', '15_38']",1,inf,12.280845803303833,-390.6818181818182,18.351438652385365
17_36,"['16_66', '15_30']",1,inf,12.177595814830136,-409.09090909090907,20.711588512767445
17_37,"['16_80', '16_49']",1,inf,12.902595687083071,-444.54545454545456,70.3156119259921
17_70,"['16_80', '15_38']",1,0.20290958801063422,12.468515561805992,-397.5,18.256067752838135
17_69,"['16_80', '16_66']",1,0.19631299342707098,12.29883861290357,-424.09090909090907,45.69332538951527
17_20,"['16_22', '16_80']",1,0.15711713747784395,12.925861476237854,-422.04545454545456,63.38738112016158
17_10,"['16_38', '16_82']",1,0.13003715301940394,13.705589231673569,-544.0909090909091,42.85144935954701
17_48,"['16_10', '16_82']",1,0.12558894774320742,13.471748917203268,-539.3181818181819,17.457082965157248
17_31,"['16_78', '16_76']",1,0.12367834745408347,13.839505411788258,-572.7272727272727,8.965120900760997
17_52,"['16_57', '16_44']",1,0.11915597208815477,14.056709397015403,-608.8636363636364,12.326020587574352
17_53,"['16_22', '16_11']",1,0.11359816244558829,12.606688337531114,-465.6818181818182,26.72591564872048
17_76,"['16_78', '15_38']",1,0.10741821184810006,13.764474784658695,-550.9090909090909,2.597220731391148
15_30,"['14_26', '14_79']",1,0.10562740239329553,12.262728817942987,-404.3181818181818,22.36722165888006
17_42,"['16_76', '16_67']",1,0.10365162341217983,12.918074703813875,-441.1363636363636,49.55150777643377
17_24,"['16_67', '15_30']",1,0.10023247475288032,12.642102258565108,-430.22727272727275,58.54074408791282
16_80,"['15_5', '15_35']",1,0.09834348800102857,12.799088482263487,-441.8181818181818,67.18351104042746
17_43,"['16_38', '16_78']",1,0.09736571137080843,13.896840044992556,-601.3636363636364,7.62343197519129
17_83,"['15_26', '16_10']",1,0.09332332027633357,13.927090037308243,-582.2727272727273,21.603184288198296
17_73,"['16_76', '16_35']",1,0.09219922051306426,13.317122253062273,-494.3181818181818,24.437382698059082
17_88,"['15_38', '16_78']",1,0.09136557475151831,14.009172574671878,-589.7727272727273,19.432871504263446
17_16,"['16_74', '16_49']",1,0.08531266249246564,13.036858216586802,-459.54545454545456,21.313365762883965
17_1,"['16_35', '15_30']",1,0.08490570511628306,12.659566141603618,-435.6818181818182,10.132781722328879
17_78,"['15_38', '16_80']",1,0.08315615951561704,12.88370592076672,-419.3181818181818,68.69870723377575
17_39,"['16_44', '16_35']",1,0.0805069911410273,13.641916383809253,-573.4090909090909,4.37925957549702
17_33,"['16_74', '16_67']",1,0.08018943285169136,13.214802076782462,-508.6363636363636,37.13910952481356
17_21,"['16_23', '16_82']",1,0.07878736753342643,13.605032479844768,-519.5454545454545,31.9424706697464
17_51,"['15_26', '16_44']",1,0.07821677781867019,14.217489574296478,-630.0,0.9393057692795992
17_80,"['16_78', '16_80']",1,0.07544049062337042,13.520501445707636,-512.7272727272727,52.038487521084875
17_13,"['16_7', '16_84']",1,0.07508148631603359,12.827696244648306,-475.22727272727275,22.93534096804532
17_27,"['16_70', '16_35']",1,0.07400678783384912,12.715756028773388,-470.45454545454544,35.21863573247736
17_44,"['16_22', '16_65']",1,0.07358278421450537,13.003187462396374,-469.77272727272725,32.83857900446112
17_18,"['16_31', '15_26']",1,0.07237733632387269,14.175882935559867,-613.6363636363636,0.0
17_4,"['16_78', '15_38']",1,0.07050018881134018,13.416933461429515,-501.8181818181818,18.780197143554688
16_57,"['15_26', '15_18']",1,0.06969057514288261,14.093815411140694,-594.5454545454545,27.870270122181285
17_3,"['16_7', '16_13']",1,0.06957017226686926,13.381493627447968,-532.5,11.2060884995894
16_67,"['15_24', '15_84']",1,0.06885500103686588,13.083798866557872,-467.72727272727275,54.60338661887429
17_58,"['15_38', '16_57']",1,0.06766544437890011,13.14520416127839,-465.0,22.547596671364524
17_40,"['15_30', '16_82']",1,0.06725721133440138,13.229444427835837,-514.0909090909091,0.0
17_79,"['16_22', '16_76']",1,0.06697430675347558,12.880447513007296,-433.6363636363636,38.539012995633215
17_68,"['16_22', '16_82']",1,0.06653488075518336,13.456561941646497,-533.8636363636364,6.230302752418951
17_86,"['16_76', '16_88']",1,0.06529750899733178,13.386258757582038,-529.7727272727273,30.705029140819203
17_0,"['15_38', '16_10']",1,0.06516812247908663,12.89454531381959,-450.0,7.491697953505949
17_63,"['16_22', '16_38']",1,0.06203037485257641,12.776319512953524,-468.40909090909093,36.385273066433996
17_38,"['16_11', '16_80']",1,0.061808066540986674,12.72995352620154,-438.40909090909093,68.83445375615901
17_66,"['16_80', '16_38']",1,0.061318382762415934,13.111022407791875,-477.27272727272725,56.45961414683949
17_77,"['15_30', '16_82']",1,0.06101276275883008,12.953228511528714,-488.1818181818182,1.5680596168068321
17_32,"['16_82', '16_84']",1,0.05721005694779012,13.623309643606257,-554.3181818181819,41.08851046995683
17_17,"['15_38', '16_10']",1,0.057182131603003575,13.301361712732659,-505.90909090909093,33.8479917686094
17_74,"['16_49', '16_82']",1,0.05549952927070023,13.5579040443711,-524.3181818181819,35.22411415793679
17_25,"['15_38', '16_67']",1,0.05343206693162321,13.144130909073601,-454.77272727272725,41.945146734064274
17_29,"['16_22', '16_88']",1,0.05191842730321637,13.57961102994039,-511.3636363636364,25.901510845531117
17_5,"['16_88', '16_35']",1,0.0514047634264127,13.299701650792052,-507.27272727272725,25.673623301766135
17_49,"['16_70', '16_47']",1,0.049553780879555046,12.915481287892892,-485.45454545454544,31.146202087402344
17_6,"['16_76', '16_67']",1,0.04948878346918262,12.861145843045382,-426.1363636363636,57.29303047873757
17_54,"['16_76', '15_30']",1,0.048533405542148376,12.647117488286995,-407.72727272727275,39.90018740567294
17_59,"['16_57', '16_67']",1,0.04614103672528489,13.651643240197336,-522.9545454545455,54.36643184315074
17_14,"['16_65', '16_82']",1,0.046076139189415076,13.388768940783565,-535.2272727272727,24.942061947150663
17_84,"['16_23', '16_10']",1,0.04580207072735651,13.483002952967553,-513.4090909090909,54.13601701909845
17_56,"['16_57', '16_67']",1,0.0451988466745568,14.05603587631492,-557.7272727272727,27.909083062952217
17_15,"['16_65', '16_35']",1,0.04389611481468539,12.808623363152277,-469.77272727272725,28.758336413990367
17_62,"['16_44', '16_82']",1,0.04387968567678079,13.627261489586642,-565.9090909090909,18.19319421594793
17_19,"['16_65', '16_78']",1,0.04043733983089956,13.636903646353563,-561.8181818181819,17.982289682735097
17_34,"['16_31', '16_67']",1,0.039452656348164104,13.989769733374215,-615.6818181818181,0.20397878641431982
17_23,"['16_80', '16_35']",1,0.039161969126719966,12.789067081635903,-479.3181818181818,24.89613541689786
16_22,"['15_38', '15_83']",1,0.038825358108822004,12.85036485814755,-429.54545454545456,40.05457652698863
17_7,"['16_44', '16_26']",1,0.038238112856296816,13.964367033046852,-623.8636363636364,7.85737809267911
17_67,"['16_26', '16_44']",1,0.03821473808660828,13.939031965114843,-609.5454545454545,0.19976152073253284
17_82,"['16_78', '16_80']",1,0.03787023927450402,13.4238705590366,-548.8636363636364,8.139732664281672
17_2,"['16_47', '15_30']",1,0.0374846845839411,12.626397144943041,-431.59090909090907,42.36248831315474
17_46,"['15_26', '16_82']",1,0.036381402129899605,13.908635770979304,-593.1818181818181,0.16690548983487216
16_82,"['15_28', '13_32']",1,0.03620810740544887,13.48633731126954,-564.5454545454545,3.8111175136132673
17_65,"['16_35', '16_47']",1,0.03525938483842237,13.094022045798681,-492.95454545454544,18.41211906346408
17_9,"['16_78', '16_13']",1,0.03510210274263079,13.447505152907995,-552.9545454545455,1.3701149116862903
17_71,"['16_31', '15_38']",1,0.034899750757647424,12.948232102899835,-486.1363636363636,0.3508730855855075
17_81,"['16_76', '16_26']",1,0.03410585756102298,12.909538364581055,-453.40909090909093,28.43601768667048
17_61,"['15_38', '15_38']",1,0.03380577496806586,12.296136618209363,-392.04545454545456,20.741754791953348
17_72,"['16_26', '16_82']",1,0.031470646462482044,13.448945223494423,-546.1363636363636,11.864249500361355
17_75,"['16_78', '16_44']",1,0.03122087576794905,14.068875568209906,-619.7727272727273,0.0
17_12,"['16_35', '16_22']",1,0.030418244301452145,13.306000853112556,-490.22727272727275,24.64751282605258
17_35,"['16_82', '16_65']",1,0.029279774804490757,13.516134405357434,-557.7272727272727,8.109782896258615
16_78,"['13_32', '13_32']",1,0.028872018795764447,14.080772803329854,-623.8636363636364,0.0
17_50,"['16_38', '15_38']",1,0.02812595739555595,13.124128869614834,-477.27272727272725,7.980223013596102
17_11,"['15_38', '16_38']",1,0.026989460912495468,12.725390538206211,-439.09090909090907,3.5363240946422922
17_28,"['16_70', '16_67']",1,0.026760806961327623,12.784026280616473,-439.09090909090907,57.536999615755946
17_87,"['16_80', '16_82']",1,0.02555705134242621,13.499363721387375,-522.2727272727273,21.538832837885078
17_26,"['16_44', '15_30']",1,0.022720784675410742,13.498437533442155,-509.3181818181818,18.721983859484848
17_60,"['16_70', '16_78']",1,0.021562298399191375,13.548708251277588,-546.8181818181819,24.704265291040596
17_89,"['16_78', '16_76']",1,0.02101036031045017,13.417682703199073,-546.8181818181819,19.363811492919922
17_45,"['16_49', '16_80']",1,0.0209271863786748,12.644168999194154,-428.8636363636364,28.49659158966758
17_85,"['16_80', '15_26']",1,0.02001288049618073,13.525709376592527,-549.5454545454545,24.921318140896883
17_22,"['16_82', '16_65']",1,0.01836256391271942,13.301973270363948,-531.1363636363636,17.70782459865917
17_64,"['16_35', '16_23']",1,0.017848037035532054,12.807853575739399,-465.6818181818182,25.543046777898613
17_41,"['15_38', '16_22']",1,0.017141054285030502,12.7896287429134,-439.77272727272725,17.8073317787864
17_8,"['16_70', '16_38']",1,0.015174303500117886,13.31664108000528,-512.7272727272727,42.38564005765048
15_38,"['14_26', '13_56']",1,0.013792456116219452,12.292036767184237,-391.3636363636364,21.096707690845836
17_47,"['15_38', '15_38']",1,0.011461043545137072,12.290240605113162,-391.3636363636364,21.391712882302024
17_57,"['16_78', '16_49']",1,0.007278122592462347,13.556867876778039,-549.5454545454545,0.0
