cand_id,parents,rank,distance,yield,irr,mulch
22_64,"['7_20', '7_20']",1,inf,0.017433699647788164,-0.0,-99.9713134765625
0_106,[],1,inf,0.0,-0.0,-99.91720123291016
30_34,"['26_46', '27_74']",1,inf,14.373556960498394,-636.25,-18.883413791656494
20_89,"['6_62', '6_62']",1,inf,11.226327412863716,-0.0,-0.1302274402230978
28_85,"['6_53', '6_53']",1,inf,0.009094212596517095,-21.25,-0.01404532054439187
30_56,"['29_88', '29_89']",1,0.1303274289637505,11.607012920142685,-263.75,-24.536240005493163
29_31,"['27_81', '28_13']",1,0.12044809234437813,12.523300273204665,-217.125,-52.75010585784912
30_63,"['28_20', '29_88']",1,0.10538397539720808,12.712269968057761,-237.0,-48.075944328308104
30_25,"['29_89', '29_47']",1,0.09302500134802098,13.999470334311408,-463.75,-64.93378849029541
30_68,"['29_87', '27_74']",1,0.08115714363040362,14.359645765961474,-557.75,-12.417808961868285
30_31,"['0_106', '29_50']",1,0.06240560383284388,0.0,-0.0,-81.89206924438477
30_48,"['20_89', '27_74']",1,0.060422208995041055,13.414345233378521,-315.375,-0.8570933848619461
29_50,"['28_85', '27_81']",1,0.058218237635004624,9.405295254864237,-198.75,-0.1260622449219227
30_12,"['28_20', '29_89']",1,0.05704348608823645,11.371498760216676,-212.625,-29.199911975860594
30_20,"['29_47', '29_6']",1,0.05549134605584186,13.74106857868201,-357.125,-25.6924880027771
30_45,"['0_106', '29_6']",1,0.0552578236550096,0.0,-0.0,-86.74635772705078
30_60,"['29_88', '29_3']",1,0.054910382553138,13.980926397273624,-440.75,-14.7161395072937
30_43,"['29_38', '29_88']",1,0.04834988625164318,13.883571824181312,-420.75,-21.869895935058594
30_67,"['29_6', '29_14']",1,0.04795794152032317,13.05838494515777,-307.75,-37.90651788711548
30_24,"['29_65', '0_106']",1,0.046659174775963874,0.0,-0.0,-94.6770076751709
30_54,"['0_106', '29_65']",1,0.03560141576289908,0.0,-0.0,-59.47266101837158
30_18,"['27_74', '0_106']",1,0.02441971386365801,0.0,-0.0,-89.14421310424805
30_26,"['27_74', '29_31']",1,0.02440626772603792,12.889287246529193,-297.375,-22.42427749633789
30_66,"['29_76', '27_74']",1,0.02411976832923981,14.298972327663193,-485.0,-22.72550745010376
30_57,"['27_74', '27_74']",1,0.02019037349581719,14.361464458474007,-574.0,-23.40755319595337
30_69,"['28_20', '27_74']",1,0.019417058876590582,12.938960836552756,-296.625,-29.460008430480958
30_21,"['28_20', '29_40']",1,0.018140229414846394,0.0,-0.0,-40.41138172149658
27_74,"['25_46', '25_46']",1,0.01658832490417056,14.370053571763009,-584.75,-23.165696239471437
30_65,"['29_48', '29_40']",1,0.014003015912439836,0.0,-0.0,-97.60481071472168
30_81,"['29_56', '0_106']",1,0.012650798470358453,0.0,-0.0,-96.4999568939209
