cand_id,parents,rank,distance,yield,irrigation,yield_0,irr_0,yield_1,irr_1,yield_2,irr_2,yield_3,irr_3
14_26,"['12_56', '12_36']",1,inf,13.296002977759755,-341.9752960205078,13.380540505751883,444.3882751464844,11.474348117493633,120.0,14.498252269577714,444.7447204589844,13.830871018215793,358.7681884765625
0_0,[],1,inf,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
14_79,"['0_0', '0_0']",1,inf,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
14_70,"['9_31', '13_75']",1,0.15092600662429093,5.695321230486624,-3.75,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.7823778238190492,15.0
9_31,"['8_71', '8_75']",1,0.13754185316044004,6.734987168083219,-3.75,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,4.94104157420543,15.0
12_38,"['11_42', '9_43']",1,0.09790203832828079,12.619962431494772,-227.57954025268555,12.557060704741597,413.4468688964844,11.326847942286435,0.0,14.158741163481103,300.0,12.437199915469956,196.8712921142578
14_43,"['12_36', '13_76']",1,0.09043127477754534,12.899692395763447,-291.7073059082031,13.059425413417252,429.5496826171875,11.326847942286435,45.0,13.855761313804404,431.2285461425781,13.3567349135457,261.0509948730469
14_35,"['13_71', '12_1']",1,0.0836374551738957,12.920214749471025,-311.7350616455078,13.0623204473633,432.0589599609375,11.326847942286435,30.0,13.293392743518547,405.0,13.99829786471582,379.88128662109375
14_27,"['13_84', '12_56']",1,0.07678487457010028,9.93800977000527,-108.064453125,2.9058781289827813,92.32411193847656,11.326847942286435,0.0,12.33513933043694,107.50437927246094,13.18417367831492,232.4293212890625
14_31,"['12_27', '13_20']",1,0.07674414886865297,12.23198965678898,-220.1003532409668,12.908951184383996,411.0141906738281,11.326847942286435,0.0,12.912557426627815,270.0,11.77960207385767,199.38722229003906
14_69,"['12_1', '12_27']",1,0.06821243413876976,13.181875880150075,-325.04974365234375,12.743703922135708,442.1180419921875,11.472003470638407,105.0,14.523061494536826,442.97747802734375,13.988734633289361,310.10345458984375
