cand_id,parents,rank,distance,yield,irr,mulch
43_80,"['42_18', '42_44']",1,inf,12.812706793283292,-372.95454545454544,-74.26396092501554
39_8,"['38_59', '38_6']",1,inf,10.73310676328618,-300.0,-48.36042022705078
39_65,"['38_75', '38_52']",1,inf,10.543192685885057,-336.8181818181818,-3.229833871126175
41_14,"['39_67', '40_88']",1,inf,14.18324997777761,-679.0909090909091,0.0
38_2,"['30_37', '30_37']",1,inf,14.301966838734721,-572.7272727272727,0.0
42_59,"['33_53', '39_65']",1,inf,11.13450685043924,-351.8181818181818,0.0
43_75,"['42_36', '42_18']",1,0.19386595844445564,14.058950790492387,-495.6818181818182,-61.50995497270064
43_72,"['42_6', '42_74']",1,0.1820555409825749,11.472025155538349,-344.3181818181818,-16.373147509314798
43_37,"['42_41', '42_18']",1,0.15766019067930692,13.394716642350824,-409.09090909090907,-67.86782715537332
43_51,"['42_29', '42_78']",1,0.1342642100877221,12.399359959512338,-373.6363636363636,-51.566730672662906
43_53,"['42_6', '39_8']",1,0.12521990870579722,10.81919922291138,-319.77272727272725,-22.277141484347258
43_6,"['39_65', '42_1']",1,0.11537724147089344,11.689810326493678,-339.54545454545456,-42.71498814496127
43_2,"['42_18', '39_8']",1,0.11043884833588066,11.963516308183948,-351.1363636363636,-70.84635162353516
43_23,"['41_14', '41_49']",1,0.09861342909407152,14.152003304318548,-644.3181818181819,0.0
43_86,"['38_2', '41_14']",1,0.09336641635760488,14.267389372203008,-675.0,0.0
43_34,"['39_65', '38_2']",1,0.08857814561068517,13.923204385194337,-477.27272727272725,-38.068641835992985
43_25,"['42_59', '39_8']",1,0.08632057037734024,10.881674222018113,-322.5,-35.76166889884255
43_78,"['39_8', '42_3']",1,0.08546108502632119,13.272967443922655,-428.1818181818182,-44.0068433934992
43_10,"['42_20', '39_65']",1,0.08279484679286356,11.874213252516075,-368.1818181818182,-14.076245987957174
43_66,"['42_45', '42_18']",1,0.08270423731095854,12.823916494664575,-385.22727272727275,-48.04342469302091
43_41,"['42_36', '42_81']",1,0.08242237945884531,13.786979431735693,-468.40909090909093,-23.578003883361816
43_45,"['42_59', '42_0']",1,0.08166206030081243,11.835457727281398,-362.04545454545456,-9.851145722649314
43_21,"['39_8', '39_65']",1,0.07612430107785635,10.718675850652405,-334.09090909090907,-4.894174907695163
43_85,"['42_78', '41_14']",1,0.07555128710332744,13.83361378432795,-505.22727272727275,-29.28883582895452
43_69,"['42_41', '42_0']",1,0.07246342423561411,13.190102877710775,-437.72727272727275,-16.03318803960627
43_30,"['42_45', '42_0']",1,0.07094235125214847,12.268140434814626,-405.6818181818182,-10.38940171491016
43_38,"['42_28', '42_44']",1,0.07055778127920714,12.894178973172524,-391.3636363636364,-48.68655083396218
43_61,"['42_41', '42_28']",1,0.06886743830260893,13.12716333430172,-426.1363636363636,-5.129953503608704
43_9,"['42_1', '42_28']",1,0.06741560141156963,12.99293994004273,-380.45454545454544,-53.68539654124867
43_46,"['42_41', '42_18']",1,0.06718066170796486,13.565000763395421,-434.3181818181818,-42.056542830033735
43_27,"['42_59', '39_65']",1,0.0648808976292945,10.58780322487984,-339.54545454545456,-4.154602459885857
42_6,"['41_70', '39_8']",1,0.0641181663017781,11.000496752100144,-322.5,-27.74981053630737
43_88,"['42_0', '42_41']",1,0.06395768811765892,12.970433383770718,-411.1363636363636,-26.7390305779197
43_59,"['42_46', '42_46']",1,0.06278751827582417,13.67064052014945,-446.59090909090907,-35.37277269363403
43_42,"['42_3', '39_65']",1,0.06206890549534942,13.950725082831996,-582.9545454545455,0.0
43_73,"['38_2', '42_58']",1,0.06205702680376407,13.592032183720647,-456.8181818181818,-27.65265644815835
43_29,"['42_46', '39_8']",1,0.0592421096411434,12.280997313841818,-357.27272727272725,-39.069703882390804
43_58,"['42_6', '42_18']",1,0.05883022991698769,12.018731984684244,-357.27272727272725,-42.19530205293135
43_13,"['42_0', '42_45']",1,0.0554645200555476,12.737239240243618,-413.1818181818182,-10.45589975064451
43_26,"['42_0', '42_1']",1,0.05504638273095888,12.790139781786557,-395.45454545454544,-35.411272048950195
43_5,"['38_2', '42_58']",1,0.05281861135030767,13.248033402875755,-430.22727272727275,-20.031098062341865
43_14,"['42_41', '41_14']",1,0.05236655608637995,13.994514148310282,-610.2272727272727,0.0
42_3,"['39_67', '38_2']",1,0.0519559333740523,14.213634796004852,-638.8636363636364,0.0
43_1,"['42_78', '42_59']",1,0.0497327775837599,12.604286771242018,-383.8636363636364,-32.36617859927091
42_66,"['40_49', '41_49']",1,0.04910047714326955,13.580521967488773,-487.5,-9.339448766274886
43_8,"['38_2', '42_36']",1,0.04529166595984585,14.23184493165766,-537.2727272727273,-1.6715347455306486
43_77,"['42_46', '38_2']",1,0.044501717341569096,14.27181048652502,-542.0454545454545,-27.319659146395598
43_71,"['42_36', '39_65']",1,0.04430391870771752,12.12631703607069,-383.8636363636364,-16.589455777948555
43_3,"['41_14', '42_66']",1,0.04385300704507577,14.077024058824234,-570.0,-0.2856490964239294
43_65,"['42_18', '38_2']",1,0.043680603240604986,14.122463980006597,-520.9090909090909,-31.516093622554433
43_24,"['42_0', '42_36']",1,0.042370685542374414,13.484340213408018,-482.04545454545456,-8.5210562619296
43_44,"['42_59', '42_45']",1,0.039736001235551724,12.767451438677927,-416.59090909090907,-0.47458644346757367
43_28,"['42_58', '42_18']",1,0.0395956685281854,12.55460595969945,-372.95454545454544,-53.453774972395465
43_64,"['42_3', '42_41']",1,0.03906143783404707,14.163923941175245,-627.2727272727273,0.0
43_60,"['42_41', '42_15']",1,0.03581837889050855,13.177021350948793,-418.6363636363636,-29.77800785411488
43_33,"['42_81', '38_2']",1,0.032784529275073186,13.84622222534939,-533.1818181818181,-10.157837661829861
43_56,"['42_36', '42_28']",1,0.03268936495155038,13.760089500819761,-493.6363636363636,0.0
43_20,"['42_42', '42_41']",1,0.0315688991039927,13.13388707870671,-409.09090909090907,-28.757435300133444
43_48,"['39_8', '38_2']",1,0.03056940087950144,14.021082502919603,-533.8636363636364,-12.436700972643765
43_47,"['42_45', '39_8']",1,0.030181190448371482,13.160948810082429,-417.95454545454544,-38.78522049296986
42_41,"['35_71', '40_49']",1,0.027865267603037196,13.13370498938754,-414.54545454545456,-24.548370881514117
43_11,"['42_28', '42_46']",1,0.02723774556327361,13.417512255670793,-432.95454545454544,-39.057086597789414
43_22,"['42_32', '42_66']",1,0.024323016964196906,14.038553145878387,-623.8636363636364,0.0
43_84,"['39_65', '42_28']",1,0.022396202029172904,10.976459634932095,-340.90909090909093,-10.321002597158605
43_36,"['42_3', '42_32']",1,0.018875071058852957,14.205563941378989,-675.6818181818181,0.0
43_40,"['42_59', '42_66']",1,0.018286931866384238,11.9655553855387,-383.8636363636364,0.0
43_15,"['42_46', '42_32']",1,0.01756116795088276,14.071871983679886,-618.4090909090909,0.0
43_4,"['38_2', '38_2']",1,0.017015727852707198,14.300534280364236,-572.7272727272727,0.0
43_35,"['42_66', '41_14']",1,0.015686149025914163,14.113353377372176,-626.5909090909091,0.0
43_12,"['42_32', '38_2']",1,0.009465548792085004,14.145748593327882,-625.2272727272727,0.0
43_68,"['42_18', '42_74']",2,0.15568266601266148,12.156376385580131,-360.0,-54.94972402399237
43_43,"['42_66', '42_6']",2,0.07484179937085314,12.51268762518065,-410.45454545454544,-32.61198191209273
43_55,"['39_65', '41_14']",2,0.06950461360931144,12.686238344151628,-500.45454545454544,-7.9086384773254395
43_16,"['42_66', '42_46']",2,0.06855691315922256,13.06023287385092,-427.5,-34.45625019073486
43_31,"['39_65', '39_8']",2,0.06813406424970195,10.975357497451652,-325.90909090909093,-34.93744442679665
43_76,"['42_3', '42_59']",2,0.06806955968470535,13.1126484658178,-482.04545454545456,-18.89079318127849
43_79,"['39_8', '42_45']",2,0.06589245947757189,12.284921473382864,-382.5,-52.688203291459516
42_18,"['35_71', '41_60']",2,0.06235349557839794,12.90474443114528,-387.27272727272725,-72.79551072554155
43_89,"['42_58', '41_14']",2,0.05403957597460309,13.331254750461419,-555.0,-1.70752299238335
43_19,"['42_3', '42_59']",2,0.04998789415979239,13.780730096244342,-539.3181818181819,-21.621751351789996
43_62,"['42_59', '41_49']",2,0.048655899776521246,13.25533277280935,-462.95454545454544,-31.7864915674383
43_18,"['42_15', '42_3']",2,0.0446749164513038,14.071859061139566,-595.9090909090909,-0.43360545418479224
43_49,"['42_18', '42_18']",2,0.04386199632386517,12.88294153714287,-385.90909090909093,-72.90182685852051
43_57,"['42_6', '42_3']",2,0.040726444816863085,13.477304539658364,-482.04545454545456,-24.846703307195142
43_32,"['42_36', '42_32']",2,0.03934271991032812,13.980737368524034,-555.0,-2.279464225877415
43_87,"['38_2', '42_36']",2,0.031115726802714336,14.158113787879774,-552.2727272727273,-4.484587693756277
43_67,"['41_14', '42_15']",2,0.029438557266761527,14.143465984844305,-576.1363636363636,-3.400519519705664
43_83,"['42_36', '42_0']",2,0.022635341642339664,13.684398913208646,-495.0,-16.57842393354936
43_81,"['42_66', '42_32']",3,0.08284185019177086,13.629759516612513,-562.5,-14.798975803635336
43_74,"['42_18', '41_49']",3,0.0715105828030698,14.00180141167338,-598.6363636363636,-12.236007993871516
43_52,"['41_49', '42_0']",3,0.0696385127663627,13.655639429133812,-520.2272727272727,-43.04888274452903
43_17,"['41_49', '42_28']",3,0.061440692386852076,13.533525830189037,-523.6363636363636,-17.149099880998786
43_70,"['41_14', '39_65']",3,0.048184631426046225,13.732222393028339,-578.1818181818181,-13.046315409920432
43_82,"['42_1', '41_14']",3,0.04188862324520916,14.059335367218676,-626.5909090909091,-7.85613192346963
43_63,"['41_14', '42_1']",3,0.03974485056036244,13.90602068803787,-576.8181818181819,-13.317511688579213
43_0,"['42_3', '42_41']",3,0.03734353100676763,13.67837057415327,-524.3181818181819,-19.813290574333884
43_39,"['41_14', '42_18']",3,0.02970296549206163,14.069000740283268,-616.3636363636364,-29.324203968048096
43_50,"['42_78', '42_32']",3,0.021063695607992344,14.035129914677999,-617.7272727272727,-9.009483630006963
43_7,"['42_3', '42_6']",4,0.042221567053786754,13.442136107224847,-531.1363636363636,-19.922989303415473
43_54,"['39_65', '42_3']",5,0.06588957808431946,13.296727880691527,-548.1818181818181,-29.805388017134234
