cand_id,parents,rank,distance,yield,irrigation,smts,max_irr_season
0_1,[],1,inf,12.861251822270345,-402.93504333496094,,
3_3,"['2_74', '2_38']",1,inf,6.593560174376862,-0.0,,
2_64,"['1_20', '1_20']",1,0.09731268706875584,7.5591533944309575,-11.215459823608398,,
1_27,"['0_20', '0_74']",1,0.09628307298487866,10.249238865730314,-102.94377899169922,,
3_22,"['2_13', '2_43']",1,0.08267787776522466,8.664967721278067,-60.0,,
3_5,"['1_27', '2_74']",1,0.07812778708574443,7.802704717208018,-25.421838760375977,,
2_2,"['0_40', '1_39']",1,0.06871449172833526,9.998018562615488,-81.56887435913086,,
3_45,"['1_27', '2_50']",1,0.06503131338015669,11.559380538479576,-149.56848907470703,,
3_28,"['1_27', '2_81']",1,0.058288399965688444,9.82463175050245,-81.40382385253906,,
3_49,"['2_61', '2_50']",1,0.050189993873143685,9.151726391642423,-69.39837265014648,,
3_8,"['2_83', '2_50']",1,0.04829454624132944,10.898707237458225,-122.27022171020508,,
3_23,"['2_38', '2_64']",1,0.04469558409794572,7.753584761227584,-24.93134880065918,,
3_74,"['2_38', '2_53']",1,0.04320272035065291,11.252219054964398,-134.51320266723633,,
2_53,"['1_1', '1_1']",1,0.04271969591216045,11.64282754169465,-158.38754272460938,,
3_32,"['2_38', '2_2']",1,0.04225364494348967,8.651626094303856,-46.399179458618164,,
3_77,"['2_64', '2_67']",1,0.04016216595581358,9.05737077112304,-63.03318786621094,,
3_63,"['2_8', '1_27']",1,0.03309889862333167,12.831351758514558,-262.3503112792969,,
3_57,"['2_43', '2_61']",1,0.031801102091822984,10.770543023818732,-107.09369659423828,,
3_43,"['2_43', '2_53']",1,0.0302680442429909,6.612183794917314,-3.75,,
3_0,"['2_83', '2_25']",1,0.029441450868307604,12.856029996741464,-350.199462890625,,
3_85,"['2_57', '2_55']",1,0.02597626297818453,6.666764078994434,-7.5,,
3_40,"['2_55', '2_55']",1,0.022474123436116204,12.661105316387046,-218.5542221069336,,
0_24,"['0_1', '0_0']",1,0.021454991534740356,12.188528940732823,-174.97116088867188,,
3_56,"['2_24', '2_64']",1,0.02133444835211272,9.128711588671209,-68.82590866088867,,
3_9,"['2_83', '2_26']",1,0.011425731656687756,12.830987217798464,-236.06307983398438,,
3_50,"['2_67', '2_67']",1,0.010993717831023245,11.878944165383782,-163.90361785888672,,
2_57,"['1_8', '0_0']",1,0.010693717724958635,6.593560174376862,-0.0,,
3_39,"['2_25', '2_67']",1,0.00800150174902654,12.059172614755326,-165.18811798095703,,
3_33,"['2_64', '2_81']",2,0.08083538755777414,7.317103286056499,-25.660311698913574,,
3_41,"['2_61', '2_2']",2,0.0631883908135057,8.587355168669896,-48.52755928039551,,
3_16,"['2_60', '2_46']",2,0.061562431582859345,6.967944798217818,-20.937986373901367,,
3_82,"['2_55', '2_84']",2,0.05917945282824243,12.41327746981091,-218.87515258789062,,
2_50,"['1_79', '1_27']",2,0.05891364123984534,10.741120547086185,-122.4466781616211,,
3_53,"['2_13', '2_84']",2,0.05043206751375179,10.408085048313268,-110.36571502685547,,
3_38,"['2_2', '1_27']",2,0.044500359618641024,9.821621423985462,-94.60377883911133,,
3_76,"['2_50', '2_53']",2,0.04421952053065234,9.409046669051513,-89.36578369140625,,
3_7,"['2_25', '2_81']",2,0.04165416457386397,10.841252866276946,-132.00655364990234,,
3_52,"['2_24', '2_38']",2,0.04120513740671819,7.06312485465211,-21.304637908935547,,
