cand_id,parents,rank,distance,yield,irrigation,smts,max_irr_season
0_96,"['0_1', '0_0']",1,inf,14.40303499763352,-378.3448181152344,"[82.63338, 66.78956, 43.489132, 77.491066]",378.3448181152344
0_0,[],1,inf,10.774907031342904,-0.0,"[1.0236202, 0.99439126, 1.250917, 0.9883495]",3.7986135482788086
0_18,"['0_1', '0_0']",1,inf,10.774907031342904,-0.0,"[10.132667, 25.617027, 13.641384, 5.88458]",98.08047485351562
0_55,"['0_1', '0_0']",1,0.12813332902442612,11.454184709771766,-30.0,"[41.4695, 49.15988, 9.943106, 12.466095]",74.6062240600586
0_81,"['0_1', '0_0']",1,0.12507875902227933,13.057727841334971,-87.73827362060547,"[19.709827, 8.160444, 31.935173, 10.802655]",87.73827362060547
0_59,"['0_1', '0_0']",1,0.1088954671912884,12.684816467610615,-63.27459716796875,"[15.600567, 8.510108, 31.812424, 8.84426]",63.27459716796875
0_95,"['0_1', '0_0']",1,0.1057686707359222,12.055882841029026,-40.45642852783203,"[23.3044, 77.49071, 34.837234, 14.811317]",40.45642852783203
0_21,"['0_1', '0_0']",1,0.09070817499434145,13.451927668327498,-123.44233703613281,"[54.394733, 36.187218, 82.35955, 43.291553]",123.44233703613281
0_52,"['0_1', '0_0']",1,0.08322041244976526,13.340981145700804,-105.0,"[42.359905, 79.49315, 21.261242, 14.473688]",165.7574920654297
0_36,"['0_1', '0_0']",1,0.04908585735153813,11.175220355982994,-15.0,"[17.205925, 12.321457, 16.694187, 11.64212]",109.3880844116211
0_67,"['0_1', '0_0']",1,0.04817674759143213,13.917829852045509,-150.0,"[11.858932, 23.335691, 38.000393, 10.569951]",177.13414001464844
0_50,"['0_1', '0_0']",1,0.03471193793036526,11.175220355982994,-15.0,"[21.170658, 10.625646, 17.474049, 2.8469586]",281.3170166015625
0_87,"['0_1', '0_0']",1,0.033665234844241596,13.941556182470217,-153.38751220703125,"[17.095436, 49.399185, 48.735798, 73.11704]",153.38751220703125
0_12,"['0_1', '0_0']",1,0.031220988778628844,14.330762406641956,-296.31475830078125,"[91.224, 54.190136, 81.7888, 65.83991]",296.31475830078125
0_71,"['0_1', '0_0']",1,0.030447895509285165,13.782619834309909,-134.83212280273438,"[35.71636, 45.67258, 36.572453, 74.89725]",134.83212280273438
0_51,"['0_1', '0_0']",1,0.02973077461916159,13.707646722421682,-127.91575622558594,"[17.15676, 43.912598, 36.368217, 34.841446]",127.91575622558594
0_22,"['0_1', '0_0']",1,0.02518672206690187,14.3669712107194,-332.40191650390625,"[75.38682, 76.48453, 52.352726, 54.067238]",332.40191650390625
0_68,"['0_1', '0_0']",1,0.021878725375948562,14.064380590839946,-174.7853240966797,"[45.478325, 23.344213, 33.246006, 60.07946]",174.7853240966797
0_3,"['0_1', '0_0']",1,0.02150969307015123,14.187471258111264,-199.52261352539062,"[67.07709, 39.805744, 58.37269, 61.61769]",199.52261352539062
0_88,"['0_1', '0_0']",1,0.020921476937509193,14.033183570223008,-157.71240234375,"[40.894577, 9.519041, 35.77198, 26.532751]",157.71240234375
0_17,"['0_1', '0_0']",1,0.01962252065200688,14.356651249232876,-330.0,"[95.33481, 80.16697, 59.753693, 43.607964]",391.339111328125
0_84,"['0_1', '0_0']",1,0.019424074385922693,14.181838971459825,-196.4578094482422,"[58.80708, 41.87334, 47.852833, 58.500584]",196.4578094482422
0_82,"['0_1', '0_0']",1,0.018168690508548333,14.083839581369148,-180.88296508789062,"[49.360085, 43.854866, 57.689835, 72.18882]",180.88296508789062
0_63,"['0_1', '0_0']",1,0.01534222991839427,14.284081261845685,-211.44122314453125,"[64.42099, 50.474064, 53.851425, 49.089745]",211.44122314453125
0_40,"['0_1', '0_0']",1,0.008565250766792038,11.178885171616475,-30.0,"[22.393326, 12.557927, 8.164756, 15.3951645]",128.75738525390625
0_26,"['0_1', '0_0']",1,0.008128513090874529,14.321149135837691,-216.6470947265625,"[58.49387, 72.38434, 79.66272, 73.42347]",216.6470947265625
0_64,"['0_1', '0_0']",1,0.007128632739814341,14.061125363710754,-165.0,"[50.99287, 30.363708, 35.22684, 9.585313]",213.0859375
0_99,"['0_1', '0_0']",2,0.11697224205077927,12.271181318166933,-91.9742202758789,"[22.628, 50.155483, 8.560792, 27.811825]",91.9742202758789
0_48,"['0_1', '0_0']",2,0.08954874021929604,11.119405121312347,-30.0,"[12.809071, 6.7381725, 9.528461, 14.501045]",101.5030517578125
