cand_id,parents,rank,distance,yield,irr
34_2,"['33_49', '33_36']",1,inf,14.349018063859665,-557.25
34_73,"['30_46', '30_46']",1,inf,11.09364435251523,-0.0
34_69,"['33_36', '33_58']",1,0.08200619790564806,14.306766240258634,-492.75
34_41,"['33_32', '33_15']",1,0.0700749709573705,14.140689104205567,-414.75
34_75,"['33_32', '33_49']",1,0.050883035970126805,14.013897674251306,-400.5
34_12,"['33_32', '33_32']",1,0.04870825704476512,12.518328010833075,-198.75
34_64,"['32_25', '33_85']",1,0.04727482992567968,12.643587354344708,-212.25
34_18,"['33_32', '33_54']",1,0.04472916125117898,13.92129452567591,-327.75
33_85,"['32_36', '32_71']",1,0.043980010254893634,12.241798737919828,-159.75
34_58,"['33_49', '32_36']",1,0.04368278077499192,13.642787619238282,-317.25
34_61,"['33_82', '33_72']",1,0.04121167979008429,12.711289454182761,-224.25
34_38,"['33_82', '33_26']",1,0.039479168960406166,13.095307910857972,-240.0
34_63,"['33_28', '33_26']",1,0.03931013832141311,12.04573797068934,-155.25
34_60,"['33_22', '32_36']",1,0.037690421941739306,11.288748813748981,-78.75
34_81,"['33_26', '33_26']",1,0.03767306219602083,11.810816532718805,-128.25
34_5,"['33_54', '33_32']",1,0.03547923672217233,13.280948929881102,-285.75
33_22,"['29_1', '32_25']",1,0.0322638901809158,12.404121548138646,-196.5
34_19,"['33_22', '33_85']",1,0.03070964050293723,11.870135784724187,-138.0
32_28,"['30_46', '31_88']",1,0.030590502955579527,11.180223534647888,-40.5
34_35,"['32_28', '33_85']",1,0.026651778619438155,11.205572952214846,-63.0
34_20,"['32_28', '32_43']",1,0.026277976777137495,13.073925612972687,-233.25
34_47,"['33_65', '31_76']",1,0.025735026753107695,11.65984657641992,-110.25
34_24,"['33_12', '33_85']",1,0.02433190440916956,12.268375884529103,-180.0
34_30,"['31_76', '33_26']",1,0.021306908412992202,12.366212597719391,-183.0
34_21,"['33_55', '33_55']",1,0.019102106748266783,12.87647051139839,-228.75
33_49,"['26_10', '31_88']",1,0.018889292245244247,14.336593336529608,-498.75
34_88,"['33_58', '33_44']",1,0.01642540860159325,13.572171572228157,-288.75
33_55,"['32_10', '32_43']",1,0.015175488918322155,12.923085887371661,-231.0
34_50,"['33_58', '33_58']",1,0.01323679203520798,13.94693644527393,-359.25
34_45,"['33_65', '33_64']",1,0.013136860987866823,11.84502918495943,-129.0
34_80,"['33_44', '31_76']",1,0.012570511471037648,13.63488286396148,-310.5
33_26,"['32_14', '32_36']",1,0.009833224365988621,11.862646645032651,-132.0
34_51,"['33_54', '33_25']",1,0.00949711467079344,13.610604359327485,-291.0
32_36,"['30_11', '31_76']",1,0.007740063167618044,11.225286218058622,-75.75
34_57,"['33_12', '33_54']",1,0.004477946235566216,13.997014058174813,-360.0
34_9,"['33_49', '33_12']",2,0.10328354196198448,14.32686558851374,-512.25
34_56,"['33_55', '33_12']",2,0.09373622833143594,14.109163656381071,-438.0
34_52,"['33_36', '33_49']",2,0.04475703823874999,14.186088719293277,-501.75
34_22,"['33_82', '33_85']",2,0.03888153892901538,11.266533398258968,-114.75
34_65,"['33_58', '33_22']",2,0.0379159191131997,13.50593445269819,-303.0
34_89,"['33_58', '33_32']",2,0.036333008150884846,13.812559970821761,-354.75
34_79,"['33_44', '33_65']",2,0.03362917305114764,12.340638473653284,-216.0
34_8,"['33_65', '33_23']",2,0.030409006069586325,13.803157308762124,-345.75
34_29,"['33_55', '33_55']",2,0.029422897595227912,12.944999407573533,-235.5
34_70,"['33_72', '33_82']",2,0.026013982435521353,11.18389048461196,-88.5
34_32,"['33_85', '33_28']",2,0.024853437596322,11.747142286187664,-140.25
33_58,"['32_15', '32_22']",2,0.024195392667666817,13.946203859720148,-360.0
34_14,"['33_26', '33_32']",2,0.021260916073090004,11.543132761440283,-132.75
34_33,"['33_26', '33_23']",2,0.020139975737395736,13.092242474252387,-267.75
34_74,"['33_12', '33_25']",2,0.018475005395101652,13.33875528415678,-291.75
34_37,"['33_23', '33_55']",2,0.01634470665982897,13.584038113991516,-315.0
34_83,"['33_85', '33_55']",2,0.015763610851493963,12.17390685763716,-189.75
33_25,"['32_7', '26_10']",2,0.00881667573662117,14.002403651658284,-402.75
30_46,"['26_32', '26_32']",2,0.00022933857762784347,11.093446050881692,-0.0
34_15,"['33_12', '33_36']",3,0.06810190785412609,13.977068114025531,-462.75
34_62,"['33_49', '33_25']",3,0.04749389838187841,13.92541071216957,-458.25
34_26,"['32_28', '33_32']",3,0.03694532715468114,12.866550611667126,-244.5
34_23,"['33_58', '33_85']",3,0.03360683873670979,13.576374023390912,-340.5
34_11,"['32_36', '33_55']",3,0.032830449187310914,11.495205995452384,-135.75
34_3,"['33_58', '33_22']",3,0.030938710170077904,13.901091455881083,-372.75
34_49,"['33_82', '33_58']",3,0.028624726809689888,13.354185719813099,-309.75
34_10,"['33_55', '31_76']",3,0.025160806028173624,12.16872053116391,-191.25
34_87,"['32_28', '33_64']",3,0.02290479908855779,11.67509673419332,-176.25
34_55,"['32_28', '33_55']",3,0.016086744803591436,11.09974683187212,-135.0
34_44,"['33_49', '32_36']",3,0.006746696749062173,12.933904223241944,-268.5
34_31,"['30_46', '30_46']",3,0.0036470375595436997,11.091789205276385,-0.0
34_40,"['33_25', '33_55']",4,0.060916571470342615,12.849792985268362,-258.75
34_42,"['33_49', '33_82']",4,0.052799493536885025,13.617312988264928,-381.75
34_17,"['33_22', '33_26']",4,0.029789745633545483,11.063944726993942,-73.5
