cand_id,parents,rank,distance,yield,irrigation,yield_0,irr_0,yield_1,irr_1,yield_2,irr_2,yield_3,irr_3
35_64,"['34_23', '34_70']",1,0.05185763946290248,11.274598975302109,-154.18485641479492,10.6967919952352,357.4749450683594,11.326847942286435,0.0,11.341257812886495,75.0,11.7334981508003,184.2644805908203
35_70,"['34_22', '34_0']",1,0.04817214020807875,9.312835584856488,-93.40189361572266,1.626683764444352,66.0689697265625,11.326847942286435,0.0,11.745649089644266,106.262939453125,12.552161543050898,201.27566528320312
35_54,"['34_80', '34_28']",1,0.04713811608369502,13.116520431015577,-308.87740325927734,12.852000783277939,424.2558898925781,11.47190922197255,105.0,14.41332429886103,423.620849609375,13.728847419950792,282.63287353515625
34_35,"['33_84', '33_85']",1,0.04577728313451806,5.695321230486624,-3.75,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.7823778238190492,15.0
35_56,"['34_70', '33_42']",1,0.04566584606495522,12.927120711622024,-275.6456756591797,12.147584028508923,401.6980285644531,11.410457147451986,15.0,14.403169507757347,408.7904968261719,13.747272162769839,277.09417724609375
35_22,"['33_42', '34_48']",1,0.04432441635132733,12.302491335000308,-218.25772094726562,11.196598667363476,366.3718566894531,11.326847942286435,0.0,13.956633292070666,285.0,12.729885438280661,221.65902709960938
34_22,"['33_66', '33_2']",1,0.03915440766204106,11.447241237715733,-162.47434616088867,10.843093479610852,323.1940612792969,11.326847942286435,0.0,11.883112321436968,150.0,11.735911207528684,176.7033233642578
34_70,"['33_58', '32_27']",1,0.038410347007713896,12.090637910754383,-200.07550048828125,11.191104782792715,360.0,11.326847942286435,0.0,12.299798025642538,165.0,13.544800892295845,275.302001953125
35_52,"['34_48', '34_77']",1,0.036879752660318454,12.486158002113818,-229.33426666259766,11.09063903340165,373.6497802734375,11.326847942286435,0.0,13.699310504212482,255.0,13.827834528554707,288.6872863769531
35_27,"['33_42', '34_15']",1,0.03237713192202632,12.733647618879544,-258.4424362182617,12.120501262470471,422.0421142578125,11.326847942286435,0.0,13.75752838794555,330.0,13.729712882815724,281.7276306152344
35_36,"['34_32', '34_32']",1,0.030975623962246904,8.564752359642254,-45.59742736816406,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,12.260102340441568,182.38970947265625
35_23,"['34_77', '33_42']",1,0.029220864007338497,13.169886302439226,-323.81982421875,13.180967328368071,443.7921447753906,11.410457147451986,60.0,14.297651471359709,443.7036437988281,13.79046926257714,347.78350830078125
35_60,"['34_23', '34_2']",1,0.02541623888708729,11.709754889267497,-183.20461654663086,11.281344713082438,402.4197082519531,11.326847942286435,0.0,11.607582023156853,120.0,12.623244878544265,210.3987579345703
35_4,"['34_23', '34_30']",1,0.02225399678259577,11.647946698745205,-180.93928146362305,8.877421858788919,222.38941955566406,11.326847942286435,0.0,12.656638488124818,195.0,13.730878505780643,306.3677062988281
35_37,"['34_70', '34_79']",1,0.02202448871379315,12.105280252590795,-217.58206939697266,11.299217659951431,387.6212158203125,11.326847942286435,0.0,11.918144974423898,165.0,13.876910433701417,317.7070617675781
35_66,"['34_48', '34_55']",1,0.021235695282559783,8.35483412247634,-38.73629379272461,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,11.420429391777912,154.94517517089844
35_11,"['34_43', '34_7']",1,0.0191493023910731,8.401066317342199,-42.184200286865234,0.6172694407469668,0.0,11.326847942286435,0.0,10.383132583325954,15.0,11.27701530300944,153.73680114746094
35_83,"['34_28', '34_43']",1,0.018617073887682335,12.857825269598813,-271.8521194458008,12.89236036793754,426.3622741699219,11.410457147451986,15.0,14.231626985485946,426.7378234863281,12.896856577519781,219.30838012695312
34_23,"['33_79', '33_2']",1,0.01752456366400687,11.22970916014132,-152.2457618713379,10.239121381478446,298.7936706542969,11.326847942286435,0.0,12.012854528086411,135.0,11.340012788713983,175.1893768310547
34_55,"['0_0', '0_0']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
35_6,"['0_0', '34_32']",1,0.0,5.611943881613731,-0.0,0.6172694407469668,0.0,11.326847942286435,0.0,10.054789715094044,0.0,0.4488684283274773,0.0
