cand_id,parents,rank,distance,kcal,irr
32_35,"['29_4', '29_4']",1,inf,34369508.97907387,-910.5
25_60,"['10_73', '24_50']",1,inf,30887482.16218142,-0.0
34_53,"['33_86', '33_53']",1,0.04756184433687964,31769963.116873197,-105.75
34_7,"['33_34', '33_55']",1,0.0442764849596877,32750552.0519997,-312.75
34_67,"['25_60', '33_78']",1,0.04116507007161781,31697342.872463904,-92.25
34_77,"['33_86', '33_45']",1,0.03984508902544084,31584547.480461735,-58.5
34_14,"['33_53', '33_9']",1,0.03905765498837228,33765206.50908335,-634.5
34_12,"['33_79', '31_61']",1,0.03564324365799667,32116285.29618922,-162.75
34_21,"['33_33', '33_60']",1,0.03507067946431682,33507688.985168457,-573.75
33_33,"['32_40', '31_23']",1,0.03468245231243322,34233968.44868296,-792.0
33_60,"['32_21', '25_60']",1,0.03428994897198282,31386868.978633136,-31.5
34_55,"['33_19', '33_79']",1,0.0317961799122215,31906814.787739914,-128.25
34_23,"['33_20', '32_40']",1,0.03177732524927206,34346983.307708755,-881.25
34_54,"['33_86', '33_79']",1,0.031167173886708338,32203234.321660925,-191.25
34_71,"['33_79', '33_85']",1,0.030402089007952916,32365348.6320783,-205.5
34_60,"['33_18', '33_52']",1,0.030077408707275582,33933051.46223748,-680.25
32_40,"['29_4', '31_73']",1,0.029020212759737683,34281780.31772964,-831.0
34_88,"['33_33', '33_34']",1,0.026996849605359505,33301364.730259515,-447.75
34_19,"['33_9', '32_40']",1,0.026207732266024623,34149441.047759786,-768.75
34_56,"['33_78', '33_85']",1,0.02577146961852622,32569516.16843809,-294.75
34_87,"['33_34', '33_55']",1,0.025606194864908432,32935651.589053027,-333.0
33_18,"['32_8', '32_21']",1,0.024693376109346084,33940232.02236877,-714.0
34_84,"['32_38', '32_40']",1,0.024122699811762304,33484989.828562,-560.25
33_15,"['31_77', '32_87']",1,0.023991926896791988,33151985.233655177,-411.0
34_30,"['33_55', '33_34']",1,0.02197157070971421,33027513.165280413,-390.0
34_41,"['33_19', '33_9']",1,0.02169517807659338,33166923.680324316,-421.5
34_2,"['33_34', '32_35']",1,0.021595005026217827,34032150.62737732,-723.0
34_40,"['33_18', '25_60']",1,0.02100343393047841,31115034.868596893,-6.0
34_26,"['33_86', '33_9']",1,0.01890226867774869,31997861.220508955,-131.25
34_65,"['33_15', '33_53']",1,0.017606590431299425,33658964.1157062,-587.25
34_32,"['33_55', '33_45']",1,0.01746258311886066,33421302.099582624,-489.75
34_0,"['33_60', '31_61']",1,0.017013383860921556,31360466.853788514,-28.5
34_75,"['33_85', '33_45']",1,0.016594691050509633,32507473.016647656,-241.5
34_29,"['33_43', '33_86']",1,0.016354740396442982,32431786.201617967,-228.0
34_42,"['33_86', '33_20']",1,0.01566637286192941,34197541.42966952,-787.5
31_61,"['30_62', '30_43']",1,0.01290421837972551,31611205.740783088,-72.0
34_63,"['33_78', '33_18']",1,0.012572166051103159,33046228.643423967,-393.0
34_76,"['31_61', '33_43']",1,0.010051140882806479,32506885.26707991,-237.0
34_20,"['33_33', '33_79']",1,0.008051514565618784,33827524.801589504,-652.5
34_17,"['33_55', '33_55']",1,0.007720792751012294,33366270.87849291,-481.5
34_16,"['33_34', '25_60']",2,0.6565777364554658,21510075.62522822,-0.75
34_13,"['33_6', '33_86']",2,0.050444089109311877,33637522.40632965,-601.5
34_38,"['33_86', '32_40']",2,0.05006270368485139,33343372.494435716,-524.25
34_3,"['33_25', '33_18']",2,0.039460298637259764,32767042.93761164,-360.75
34_22,"['33_20', '32_35']",2,0.03482302400513449,34318191.65969545,-891.75
34_46,"['33_33', '33_25']",2,0.03472008860916347,33354139.572517894,-549.0
34_64,"['33_53', '33_45']",2,0.031726292052193135,33318779.83558806,-504.75
34_15,"['25_60', '31_61']",2,0.03083195200806893,31012106.46526804,-15.75
34_11,"['33_18', '33_15']",2,0.03001579822675477,32299479.86529678,-216.75
34_9,"['33_34', '33_79']",2,0.02770410641123029,33054031.46669402,-478.5
34_24,"['32_35', '25_60']",2,0.026184294303900332,33920355.81235927,-687.0
34_61,"['31_3', '33_18']",2,0.025821885946725198,32841599.280079447,-375.0
34_59,"['33_18', '32_35']",2,0.025446051672291692,34123714.446353,-774.0
34_66,"['33_34', '31_61']",2,0.024531887314419593,31906271.424522597,-146.25
33_86,"['31_61', '32_80']",2,0.023537368521316358,32043923.126079462,-173.25
34_80,"['33_60', '33_34']",2,0.022757486702198404,31583892.66092989,-66.75
34_27,"['33_86', '33_86']",2,0.022114313552705638,31891252.175418396,-141.0
34_43,"['33_53', '33_86']",2,0.021391437386049008,32903286.27556581,-400.5
34_8,"['33_52', '31_61']",2,0.020241469004181126,33238346.763046037,-496.5
34_31,"['33_9', '33_86']",2,0.01873556074844905,32828290.388398964,-369.0
34_45,"['32_40', '33_34']",2,0.017981657276429017,34200066.38388849,-828.0
34_6,"['33_33', '33_85']",2,0.015766211170949118,33506608.71092991,-594.0
34_73,"['25_60', '32_35']",2,0.012633578391590268,32406801.461367317,-228.0
34_57,"['33_19', '33_78']",2,0.010785375774676326,32592811.611729376,-334.5
34_39,"['33_19', '32_35']",2,0.01013703651454697,33144502.86510094,-483.0
34_85,"['33_78', '33_18']",2,0.009690463276639099,33421291.41994033,-588.0
34_4,"['33_34', '32_35']",2,0.008934550212692065,33783156.973372094,-657.75
34_62,"['33_53', '32_40']",2,0.008758311383499884,33744229.05510182,-651.75
34_81,"['33_79', '32_40']",2,0.008628926873957827,33699359.27561591,-642.75
34_68,"['33_78', '33_15']",2,0.008187874703106703,33028894.941199224,-427.5
33_34,"['31_14', '31_14']",2,0.0064021678466727565,32503449.828792684,-237.0
34_35,"['33_58', '25_60']",3,inf,10200722.136255438,-6.75
34_58,"['25_60', '33_78']",3,0.25669081861411247,25910142.36527533,-26.25
34_82,"['25_60', '33_15']",3,0.1516732249660195,27375538.65545726,-74.25
34_52,"['33_25', '33_34']",3,0.042064792283703197,32348905.151285738,-253.5
34_48,"['33_33', '33_53']",3,0.04006400614355991,33929999.62354444,-816.0
34_83,"['32_40', '25_60']",3,0.02545440954324664,33769237.96952831,-660.0
34_1,"['33_79', '33_86']",3,0.024792868592782777,32894939.093831263,-428.25
34_51,"['33_60', '33_78']",3,0.021675200179259342,32025217.04089409,-180.75
34_89,"['33_33', '32_35']",3,0.020935820295773754,34179780.19809148,-864.75
34_18,"['33_58', '33_88']",3,0.015332960424711412,32975670.11945166,-450.75
34_72,"['33_20', '33_43']",3,0.01491743364926309,33894408.73005564,-704.25
34_28,"['33_85', '33_9']",3,0.013076410267085833,33313196.976658463,-555.0
34_33,"['32_35', '33_60']",3,0.009908609515974373,33699078.80034308,-646.5
34_47,"['33_53', '33_19']",3,0.005965350353544369,32331428.01674862,-240.0
34_86,"['33_15', '33_18']",4,0.045907179292651,32203183.99072484,-279.0
34_37,"['31_61', '33_20']",4,0.031816896339624076,32934142.796938747,-458.25
34_10,"['33_55', '33_19']",4,0.02955344134769626,32344113.19073903,-336.0
34_78,"['32_40', '33_45']",4,0.020843110741906992,33125977.66144688,-702.75
34_36,"['32_35', '33_34']",4,0.015946939711854527,33858445.40533424,-726.75
34_50,"['32_40', '31_61']",4,0.012037778278845106,33098643.1606369,-636.75
