cand_id,parents,rank,distance,kcal,irr
16_54,"['10_39', '10_39']",1,inf,34331827.162855305,-913.5
10_73,"['6_46', '9_1']",1,inf,30882384.06802138,-0.0
18_31,"['16_54', '17_50']",1,0.07660775995919997,34230831.067312114,-837.0
18_82,"['16_36', '17_88']",1,0.05578967619253065,31403924.970285594,-47.25
18_74,"['17_66', '17_81']",1,0.050612833075967575,31611788.612253994,-55.5
18_9,"['17_88', '17_63']",1,0.0489587856916301,33808383.7261098,-676.5
18_65,"['17_40', '17_30']",1,0.04827460093292899,31737874.012518562,-143.25
18_12,"['17_1', '16_36']",1,0.042690889647000414,32440960.50039993,-273.75
17_33,"['10_73', '16_54']",1,0.04240480251041081,32884220.27514705,-359.25
18_75,"['17_79', '14_87']",1,0.04231073912881328,32797424.797291435,-342.75
18_57,"['17_79', '16_54']",1,0.03619487413979299,34043917.26374023,-721.5
18_22,"['17_31', '17_44']",1,0.028787295212303183,33499372.963292222,-541.5
17_30,"['15_28', '16_5']",1,0.02601207701305739,32303792.28473205,-214.5
18_64,"['17_35', '17_63']",1,0.02563979401498374,34169503.45801879,-808.5
17_77,"['15_28', '16_8']",1,0.02496654472645837,32066415.107040294,-156.0
18_67,"['17_88', '17_79']",1,0.021438823021520798,33070417.049569823,-394.5
18_51,"['17_35', '17_88']",1,0.02045205471857174,33892138.61113231,-686.25
18_20,"['17_62', '17_25']",1,0.01903576282207077,31162700.94642814,-9.0
18_78,"['17_0', '17_63']",1,0.01838319803320016,34205275.43355216,-819.0
17_88,"['14_87', '16_82']",1,0.01801824072926659,33733268.71388217,-627.75
18_79,"['17_35', '17_62']",1,0.01800372278106504,32197378.46985907,-213.0
18_17,"['10_73', '17_43']",1,0.01770270242083749,33661700.40007882,-553.5
18_54,"['17_1', '17_33']",1,0.01481218771021688,34144290.54671129,-750.75
18_59,"['17_31', '17_81']",1,0.014762843415630235,33506718.507260453,-544.5
18_73,"['16_54', '17_66']",1,0.014258506125872865,33697744.16541709,-619.5
17_0,"['14_87', '14_9']",1,0.013917342999470506,32728225.461220287,-312.0
18_14,"['17_62', '17_88']",1,0.01299346970756268,33406806.81889066,-492.75
18_21,"['17_62', '17_62']",1,0.012076826319343568,31271712.95095098,-14.25
18_69,"['17_44', '17_81']",1,0.011747991043058069,33427873.700538702,-494.25
18_36,"['17_40', '17_33']",1,0.011404654096490295,33433904.826716125,-503.25
17_81,"['16_36', '14_87']",1,0.00958531257293991,32650107.01979754,-274.5
18_61,"['17_50', '10_73']",1,0.009348102420896873,32913483.991006333,-390.75
18_50,"['17_88', '17_1']",1,0.008452431381432179,33763943.94150589,-633.75
18_80,"['16_65', '17_79']",1,0.008353816097394386,33835627.07821168,-677.25
18_58,"['17_40', '17_62']",1,0.008313357930679112,32164796.87767197,-161.25
18_19,"['17_33', '17_31']",1,0.005857563904060227,33245938.46621411,-424.5
18_1,"['17_1', '16_54']",2,0.08440940708923989,34202931.11096306,-889.5
18_72,"['17_1', '17_0']",2,0.05825916811720429,34108492.13668158,-797.25
18_41,"['17_1', '17_63']",2,0.04861976827953166,34044793.18311773,-759.0
18_3,"['17_31', '17_88']",2,0.0480534275504825,33756849.113104194,-633.75
18_4,"['17_62', '16_7']",2,0.039262190789403094,33202563.01528313,-484.5
18_23,"['17_66', '17_40']",2,0.03812310767381459,31249260.88316635,-17.25
18_13,"['17_63', '10_73']",2,0.037314773715863066,32749437.012096453,-390.0
18_60,"['17_0', '17_1']",2,0.03137536915272883,33802891.02913837,-701.25
18_37,"['17_50', '17_53']",2,0.0226855903592675,33265445.418056168,-504.0
18_6,"['17_63', '17_62']",2,0.022622462111298796,32634440.67427042,-354.0
18_62,"['17_63', '17_88']",2,0.02250667316547291,33981508.508187875,-733.5
