cand_id,parents,rank,distance,kcal,irr
2_83,"['1_13', '1_56']",1,inf,34258408.34619866,-930.0
4_74,"['2_79', '2_79']",1,inf,30878337.3263925,-0.0
5_87,"['4_65', '4_65']",1,0.08034298572087718,34204614.32700603,-918.75
5_1,"['3_42', '4_75']",1,0.07433367931296461,32133880.1600479,-201.0
5_82,"['4_69', '4_66']",1,0.06217251303608528,32418357.59908753,-318.75
5_14,"['3_42', '4_40']",1,0.06195945240983729,31191585.46169194,-23.25
5_68,"['2_83', '3_7']",1,0.0521300840001863,33853154.56852097,-713.25
5_84,"['4_39', '3_42']",1,0.044275628487956895,33460036.74525129,-540.75
5_22,"['3_42', '4_28']",1,0.04272676118042716,32053603.062386174,-168.0
5_29,"['4_80', '2_15']",1,0.038515219907845184,32237134.241887737,-273.75
5_58,"['4_83', '4_80']",1,0.03617291094472579,34147239.87440861,-780.0
5_76,"['4_40', '2_83']",1,0.035572925634991315,32699031.940503884,-387.75
5_2,"['4_80', '4_39']",1,0.035417856043176585,33932222.71361607,-723.75
4_39,"['3_34', '3_7']",1,0.03478071045754976,34199143.84436142,-832.5
5_85,"['4_61', '4_69']",1,0.03393959316411433,33325062.12598037,-528.0
5_69,"['4_40', '4_66']",1,0.033096212647149494,32624321.148917627,-378.75
5_42,"['4_61', '4_51']",1,0.032958756018822755,33545538.57125776,-567.75
5_11,"['2_65', '4_75']",1,0.027930319617391255,32380585.995617855,-299.25
5_54,"['4_51', '4_28']",1,0.02782293805924138,33184726.345119663,-429.75
5_16,"['4_61', '4_70']",1,0.024962220610572138,33593852.664016455,-617.25
3_42,"['2_38', '1_0']",1,0.022736678619183964,31826073.621988393,-141.0
4_28,"['3_62', '3_12']",1,0.022181501410677356,31737919.372113615,-95.25
5_32,"['4_78', '4_78']",1,0.021342008465499204,31538646.453392554,-54.0
5_35,"['3_42', '4_89']",1,0.021245838452319,31661709.678274285,-83.25
5_49,"['4_39', '4_58']",1,0.02059927068654993,33209643.807650466,-518.25
4_69,"['3_48', '3_32']",1,0.020575493990649594,33592034.99541437,-604.5
5_72,"['2_15', '4_66']",1,0.020283855726504662,31753103.04411608,-102.75
5_50,"['4_66', '4_66']",1,0.018045156917390098,32395601.86705041,-313.5
5_38,"['2_15', '4_40']",1,0.017844646148158533,31784372.937174924,-122.25
5_60,"['4_66', '4_1']",1,0.01762677233817891,32957425.161329247,-414.75
4_75,"['3_12', '3_27']",1,0.017354250847310917,31835010.74912263,-157.5
4_65,"['3_32', '3_21']",1,0.015974245806827443,34206139.90722549,-921.0
5_65,"['4_78', '4_71']",1,0.015940762493780875,31887824.82234661,-161.25
5_46,"['4_61', '4_70']",1,0.014950180101136674,33731439.10807295,-627.0
5_52,"['4_70', '4_69']",1,0.011213356570027016,32804685.00416113,-414.0
