cand_id,parents,rank,distance,kcal,irr
46_89,"['37_70', '45_89']",1,inf,34383532.13350652,-879.75
43_7,"['25_60', '25_60']",1,inf,30890145.149800606,-0.0
47_53,"['46_82', '46_14']",1,0.07907283240439046,32691441.182384096,-297.0
47_64,"['46_41', '46_77']",1,0.07533102145249751,32785489.891750205,-348.75
47_82,"['46_89', '46_19']",1,0.058278030105487114,34288921.60641591,-855.0
47_17,"['46_89', '46_10']",1,0.04883393715853843,34194921.50257747,-784.5
47_16,"['46_19', '46_38']",1,0.04333796967885034,33582544.93612273,-586.5
47_39,"['46_69', '46_19']",1,0.040783428684190604,33782287.59939962,-635.25
47_31,"['46_71', '46_10']",1,0.037815532292614855,33473095.588523917,-561.75
47_62,"['46_44', '46_25']",1,0.03635967720821064,33122476.9597842,-422.25
47_14,"['46_14', '46_26']",1,0.03442121559185703,32197322.807827376,-189.75
47_5,"['46_89', '46_89']",1,0.03260431732929046,34380058.15116861,-878.25
47_4,"['46_32', '46_77']",1,0.030641338612091357,33489807.49763887,-570.0
47_20,"['46_71', '46_6']",1,0.03036138607707328,33465317.81030044,-519.75
46_41,"['45_22', '45_39']",1,0.028911167203907434,33377654.08815428,-507.75
47_80,"['46_89', '46_68']",1,0.02857208646494773,34229252.29487825,-805.5
46_82,"['45_11', '45_89']",1,0.02821771863383351,33910136.89057478,-672.0
47_79,"['43_7', '45_13']",1,0.027805004945239475,31614661.489460964,-53.25
47_41,"['46_71', '46_82']",1,0.027506499224099385,34075630.09594687,-750.75
47_9,"['46_69', '46_82']",1,0.02664802477830054,34025954.34689696,-715.5
47_7,"['46_78', '46_82']",1,0.02609483772302557,33728696.156089894,-604.5
47_19,"['45_13', '46_26']",1,0.0260184447208939,31492119.6405546,-30.0
47_15,"['46_67', '46_4']",1,0.025586635444519456,32349782.612210035,-267.75
47_30,"['46_89', '46_32']",1,0.02522701807238993,33930351.66540177,-675.0
47_26,"['46_26', '46_6']",1,0.024283174455416976,31946434.93220091,-156.0
47_85,"['46_14', '46_44']",1,0.02237954356464185,32334352.16223271,-228.0
46_19,"['45_36', '45_32']",1,0.021904609165351623,34001531.82426383,-692.25
47_78,"['46_69', '46_77']",1,0.020966348902655592,33347174.718750436,-459.75
46_6,"['45_66', '45_48']",1,0.020922028822436444,32096155.461059533,-174.0
47_36,"['46_14', '46_14']",1,0.018949583420934234,32501160.53156095,-276.75
47_28,"['46_14', '43_7']",1,0.01883547872084785,31884089.130732156,-129.75
47_40,"['46_28', '46_28']",1,0.018341477256815803,32788187.92322,-359.25
47_59,"['46_87', '46_41']",1,0.01714300976484728,33785455.178442225,-639.75
47_75,"['46_6', '46_6']",1,0.016506689003933143,32066461.138359744,-168.0
47_3,"['46_28', '46_41']",1,0.015268267525938232,31999422.54950223,-162.75
47_0,"['46_87', '46_41']",1,0.014546818944222748,33226487.833359815,-454.5
46_14,"['45_22', '45_75']",1,0.01443811043534303,32537124.902224302,-281.25
47_38,"['46_25', '46_8']",1,0.011477531359648277,33039064.818911366,-382.5
46_25,"['45_49', '45_89']",1,0.006741501968164757,34137241.5865587,-752.25
47_29,"['46_6', '46_87']",1,0.005679468481767332,33097844.086934514,-409.5
47_22,"['46_10', '46_44']",2,0.047683955958084986,32237019.014020227,-259.5
47_63,"['45_13', '46_77']",2,0.03768168251623524,32227323.50411873,-230.25
