cand_id,parents,rank,distance,kcal,irr
2_83,"['1_13', '1_56']",1,inf,34258408.34619866,-930.0
2_79,"['1_70', '1_70']",1,inf,30872219.922305327,-0.0
3_10,"['1_0', '2_17']",1,0.08643830265501119,31586785.692821324,-59.25
2_65,"['1_13', '1_84']",1,0.049673982828379794,32197323.996781923,-232.5
3_12,"['2_69', '2_38']",1,0.044074408430072244,32518455.075632505,-333.75
3_21,"['2_38', '2_24']",1,0.03623192367943821,33819199.499951236,-679.5
3_7,"['2_6', '2_17']",1,0.03253225212183737,31910716.816570956,-192.0
2_15,"['1_13', '1_73']",1,0.03233312087424076,32819668.453803647,-355.5
3_42,"['2_38', '1_0']",1,0.030769585761491032,31826073.621988393,-141.0
3_48,"['2_83', '2_17']",1,0.03008361736940337,33535444.139030356,-538.5
3_9,"['2_57', '2_24']",1,0.0293033966589363,33784685.62538261,-601.5
1_0,"['0_18', '0_31']",1,0.02753636792435533,30894336.51596539,-11.25
3_27,"['1_72', '2_15']",1,0.02316062685903906,32935718.339324784,-375.0
3_83,"['1_72', '2_15']",1,0.022665840933634687,33172223.4437081,-446.25
3_32,"['2_78', '2_89']",1,0.02266131386043619,34109417.189219065,-804.75
3_20,"['2_89', '2_36']",1,0.021468929768730067,33880802.46905377,-699.0
3_55,"['2_1', '2_57']",1,0.01964892240992562,34044795.467256695,-719.25
3_85,"['2_16', '2_6']",1,0.017074267432690193,33244448.402464043,-459.75
3_62,"['2_17', '1_13']",1,0.016342215239852208,32249603.11978103,-252.0
3_25,"['1_13', '2_65']",1,0.015192109290511274,32464592.344912164,-255.75
3_17,"['2_78', '2_79']",1,0.015137775919304198,31979811.786950994,-195.75
2_57,"['1_85', '1_75']",1,0.013662209010003833,33825059.431098066,-688.5
3_11,"['2_39', '2_36']",1,0.01285446304349868,34119097.72674374,-843.75
3_34,"['2_81', '2_81']",1,0.008388871201092898,34189409.96260795,-847.5
3_59,"['1_0', '1_0']",1,0.0059040625187390654,30892552.533819325,-9.75
2_81,"['1_28', '1_30']",1,0.004654531903517469,34186703.38227307,-844.5
3_79,"['2_79', '2_1']",1,0.0023957655784830963,30887612.2967206,-1.5
3_1,"['2_89', '2_83']",2,0.05820351500114068,33750020.706950545,-656.25
3_56,"['2_89', '2_6']",2,0.04376155681593785,32370423.016151994,-314.25
3_0,"['2_89', '2_81']",2,0.04002857913025913,33983269.02126809,-759.0
2_24,"['1_72', '1_68']",2,0.03771349582967323,33968650.2156564,-726.75
3_44,"['2_57', '2_81']",2,0.03639453348573295,34187148.325159125,-877.5
2_89,"['1_30', '1_30']",2,0.03359523128880299,34096057.31279434,-810.75
3_47,"['2_65', '2_42']",2,0.027497715377854393,32736765.972892255,-404.25
3_69,"['2_38', '2_36']",2,0.02531273509239274,33601019.47155301,-616.5
3_89,"['2_83', '2_24']",2,0.025105684204995884,32894773.824334852,-437.25
3_31,"['2_69', '2_38']",2,0.024966170693297433,32771833.56793353,-421.5
3_86,"['2_1', '2_55']",2,0.023387165950808732,31760868.320875637,-143.25
3_37,"['2_78', '2_24']",2,0.022078339493738053,33532462.57674975,-587.25
3_4,"['2_36', '2_36']",2,0.01885374146295531,33267584.372088473,-543.75
3_65,"['2_78', '2_14']",2,0.01456525873507338,33438100.876280688,-582.0
3_8,"['2_38', '2_81']",2,0.013635564512888273,33752680.920102224,-711.75
3_35,"['1_85', '2_65']",2,0.012832885171250018,32195234.65844549,-246.75
3_36,"['2_65', '2_38']",2,0.011691801532998562,33006383.262325495,-461.25
3_39,"['1_72', '2_57']",2,0.011253897581069193,32923144.713116936,-441.75
3_26,"['2_6', '2_83']",2,0.007140154852060487,33218864.542389166,-514.5
3_41,"['2_14', '2_39']",2,0.005747586929307053,33751246.49564652,-707.25
3_84,"['2_24', '2_14']",2,0.004914244252591078,33115292.014618464,-482.25
3_57,"['2_79', '2_79']",2,0.0012210043042948625,30863305.68348951,-0.0
3_72,"['2_79', '2_1']",3,0.049815795206412175,28139223.39238129,-2.25
3_64,"['2_47', '2_38']",3,0.045045836493764445,33559768.62900122,-630.75
3_87,"['2_14', '2_89']",3,0.03567261985572666,33946306.164782956,-753.0
3_61,"['2_57', '1_85']",3,0.034231788795104245,34074688.10507643,-849.75
3_63,"['2_15', '2_89']",3,0.02799847069946626,33132870.72532601,-516.75
3_50,"['2_83', '2_57']",3,0.022694394093174072,33411094.316428006,-612.75
3_71,"['2_65', '2_24']",3,0.02007144176876987,32959153.35473723,-468.75
3_23,"['2_65', '2_79']",3,0.01692604761347236,27515992.010598283,-0.75
3_51,"['2_6', '2_89']",3,0.015713871333831897,32983566.815754484,-478.5
3_74,"['2_69', '2_81']",3,0.015406928504778695,33256546.683963645,-550.5
3_22,"['2_16', '2_57']",3,0.012878595273887496,33595281.38122333,-690.0
3_60,"['2_39', '2_65']",3,0.010667522757349454,34170986.54118717,-883.5
3_78,"['2_83', '2_17']",3,0.009828818733379548,31742290.724883966,-417.0
3_38,"['2_65', '2_81']",3,0.008517140826595649,33057979.825993974,-482.25
3_33,"['2_75', '2_1']",3,0.008215981167909277,33089530.81673475,-510.0
3_66,"['1_0', '1_0']",3,0.003644625758132773,30861453.10129608,-9.75
3_75,"['2_78', '2_16']",3,0.0023996246103512213,33103804.247580707,-511.5
2_14,"['1_56', '1_13']",3,0.0012487627407181561,33109963.655569077,-512.25
3_15,"['2_16', '2_79']",4,0.30904161694861376,10994400.83705887,-3.75
3_67,"['1_0', '2_65']",4,0.06432901274034088,30609166.855520688,-46.5
3_73,"['2_79', '2_65']",4,0.05780348766054305,26775484.903368194,-4.5
3_18,"['2_57', '2_24']",4,0.03510323831648887,33770266.899889655,-787.5
3_70,"['2_16', '2_65']",4,0.021070462399902998,33942802.72778844,-790.5
3_58,"['2_83', '2_69']",4,0.02050350724827344,31652209.77929871,-488.25
3_40,"['2_38', '2_65']",4,0.01972854734608679,33035884.63398806,-495.75
3_77,"['2_1', '2_14']",4,0.015501179126535418,33231996.90260129,-557.25
3_6,"['2_36', '2_24']",4,0.01026904871323837,33506599.54250177,-705.75
3_29,"['1_72', '2_69']",5,0.12375950430315655,28911942.66734431,-261.0
3_19,"['2_1', '2_6']",5,0.0745557095676821,27073229.897168417,-99.75
3_49,"['2_39', '2_14']",5,0.052637390035024746,33475206.14533322,-885.0
3_28,"['2_1', '2_79']",5,0.049877631396294426,25170217.837290324,-10.5
3_3,"['2_89', '2_78']",5,0.020294825170137226,32975275.330224127,-576.0
3_80,"['2_14', '1_13']",5,0.017396446270552507,32513651.321484108,-504.75
3_5,"['2_83', '2_1']",5,0.0045046698359258825,32836618.767589293,-510.75
3_68,"['2_64', '2_17']",6,0.23653176623425518,19641099.578386877,-11.25
3_43,"['2_83', '2_17']",6,0.21638803648349697,23806456.508446716,-120.0
3_13,"['2_1', '2_17']",6,0.0481896978964038,27680955.62875704,-300.75
3_54,"['1_0', '2_65']",6,0.046141433516701684,27043436.35397516,-171.0
3_52,"['2_24', '2_15']",6,0.02845567276737533,32157260.343467187,-564.0
3_88,"['2_55', '2_14']",6,0.012133080189715578,30789592.224020265,-512.25
3_30,"['2_1', '2_83']",7,inf,8286267.209918229,-159.75
3_14,"['2_89', '2_57']",7,0.061191547802726995,30348149.499823608,-706.5
3_24,"['2_69', '2_89']",7,0.04909892880096128,25362708.403042287,-197.25
3_45,"['2_57', '2_39']",7,0.045533768445484575,30459327.63300438,-834.75
3_53,"['2_69', '2_47']",7,0.04043467522013743,27283240.48148034,-347.25
3_46,"['2_47', '2_1']",8,0.348244641092825,18647648.022762418,-241.5
3_16,"['2_47', '1_0']",8,0.06593414481644855,25709718.21516552,-416.25
3_81,"['2_24', '2_47']",8,0.027876976345631636,25419103.6653638,-375.75
3_76,"['1_68', '2_39']",9,0.13506178440271055,9258587.642083295,-291.75
3_82,"['2_83', '2_15']",9,0.07831507312730633,24109170.071094163,-388.5
3_2,"['2_64', '2_47']",10,0.08376914174566724,10684011.355718417,-399.75
