cand_id,parents,rank,distance,yield,irr,mulch
26_21,"['0_41', '22_37']",1,inf,0.0,-0.0,-56.18712876059792
41_59,"['40_58', '40_40']",1,inf,11.349840132421697,-86.5909090909091,-18.036272178996693
40_64,"['37_53', '37_53']",1,inf,0.7950457844374722,-0.0,-15.943006385456432
43_36,"['42_57', '42_19']",1,inf,6.9921503531775215,-229.0909090909091,-11.773464506322687
42_15,"['39_5', '41_50']",1,0.16738161652873043,6.1846941644638695,-128.1818181818182,-13.957796053452926
43_4,"['42_16', '26_21']",1,0.12474805828102159,1.5393779347180219,-8.863636363636363,-56.73784203962846
43_10,"['39_5', '42_88']",1,0.12049993579007189,5.1433416675297785,-45.0,-22.648122614080254
43_66,"['42_12', '26_21']",1,0.1139085324070653,6.486220276744163,-68.18181818181819,-40.15736042369496
43_20,"['42_15', '42_12']",1,0.10840013161936754,7.539678450789663,-182.04545454545453,-14.0267127643932
43_73,"['42_9', '42_88']",1,0.10335358257439661,10.813370828549875,-70.9090909090909,-41.653208472511984
39_5,"['37_77', '37_77']",1,0.09931372836854072,5.7203838496881625,-93.4090909090909,-11.918105949055064
43_15,"['41_10', '42_40']",1,0.09703648597666892,3.688934047371312,-25.90909090909091,-46.23866861516779
43_34,"['42_37', '42_68']",1,0.09308692016721896,3.1405851838232923,-23.863636363636363,-26.829910625110973
43_84,"['40_64', '41_59']",1,0.09006167536183533,8.687295873708704,-213.4090909090909,-15.369016040455211
43_8,"['41_10', '42_16']",1,0.08395332741074368,1.8945729368676631,-15.0,-48.8132662339644
43_60,"['42_33', '42_33']",1,0.07937594271281793,6.966852458964116,-167.04545454545453,-15.6744366125627
43_27,"['42_57', '39_5']",1,0.07783366203517453,9.013476612595863,-352.5,-12.627649957483465
43_47,"['42_88', '41_59']",1,0.07629977997124202,11.339782574078244,-72.95454545454545,-37.24494691328569
43_43,"['42_33', '42_68']",1,0.07589772577491498,2.7907306488378825,-28.636363636363637,-16.83849222009832
43_14,"['42_19', '42_38']",1,0.07391366122288304,9.212362301324577,-366.8181818181818,-13.522002003409646
43_53,"['42_17', '41_59']",1,0.07384508713561752,9.663591700694498,-253.63636363636363,-15.819931550459428
43_54,"['41_24', '42_16']",1,0.07106627367528061,7.868845067643836,-60.68181818181818,-52.81626233187589
43_30,"['42_1', '42_19']",1,0.06662540898050875,9.52886974377628,-115.22727272727273,-15.753360271453857
42_16,"['41_10', '41_4']",1,0.05784456633498908,1.382093845554713,-12.272727272727273,-54.48698616027832
43_78,"['42_17', '42_33']",1,0.05714225006241896,9.652519051759432,-369.54545454545456,-14.405668822201816
43_6,"['42_57', '42_46']",1,0.05594307028121068,2.2665982983978994,-23.863636363636363,-16.92812897942283
43_13,"['42_57', '42_40']",1,0.05521833338815596,7.920856853995475,-304.09090909090907,-12.870834654027766
43_1,"['41_10', '42_33']",1,0.048615598820116755,1.001708386868881,-4.090909090909091,-43.12155758250844
43_61,"['42_1', '42_15']",1,0.04816540086090633,3.290858774730397,-41.59090909090909,-16.11414809660478
43_74,"['42_38', '42_12']",1,0.046734434652530944,8.913667565804262,-300.6818181818182,-13.838936458934437
43_58,"['42_37', '39_5']",1,0.04643343499573543,3.0905804481284993,-34.77272727272727,-13.672813762318004
43_55,"['42_15', '41_59']",1,0.04637682941437365,10.354329116597926,-81.81818181818181,-17.169314211065117
43_31,"['41_59', '42_5']",1,0.04330383460150986,10.226344581152892,-302.04545454545456,-15.570849852128463
43_16,"['26_21', '26_21']",1,0.0418563996187586,0.5251931990938019,-0.0,-55.634858738292344
43_35,"['41_24', '42_9']",1,0.03703270180683013,5.7136137526827815,-42.27272727272727,-51.26482807506215
43_46,"['42_40', '42_19']",1,0.0353014802174306,0.6992061741538129,-4.7727272727272725,-12.331896781921387
42_9,"['41_10', '41_10']",1,0.0349404037245916,2.059831975529785,-16.363636363636363,-48.19226577065208
43_75,"['42_3', '42_71']",1,0.03364134614760367,1.243360740932493,-4.090909090909091,-15.54423544623635
43_18,"['40_64', '39_5']",1,0.03170895524104848,1.6872820793905867,-18.40909090909091,-14.386568979783492
43_38,"['42_1', '42_37']",1,0.030406506414497377,10.30829046366052,-70.22727272727273,-23.510366526517
42_12,"['41_86', '41_59']",1,0.029075330111012387,7.882184898087164,-214.77272727272728,-14.053834785114635
43_77,"['39_5', '42_71']",1,0.028594556151502967,5.569624378692369,-68.86363636363636,-14.936734893105246
43_0,"['42_19', '26_21']",1,0.026180248167632945,1.5880756288013662,-12.954545454545455,-33.2315146706321
43_7,"['41_59', '42_9']",1,0.026026908135365266,1.8316950482012844,-23.863636363636363,-22.75245779210871
43_72,"['41_24', '42_78']",1,0.025928662640846166,11.349153013486415,-84.54545454545455,-21.19581430608576
