cand_id,parents,rank,distance,yield,irr,mulch
10_2,"['9_71', '9_71']",1,inf,0.5049906328617516,-0.0,-54.86782524802468
0_41,"['0_0', '0_1']",1,inf,0.0,-0.0,-54.85147476196289
15_33,"['13_75', '14_25']",1,inf,11.349214807132324,-84.54545454545455,-28.5289249420166
14_32,"['10_48', '13_16']",1,inf,9.538454375340008,-392.04545454545456,-21.282264015891336
15_36,"['14_88', '14_83']",1,0.09290598329781757,8.563491470479498,-68.86363636363636,-24.80014523592862
15_0,"['10_48', '10_48']",1,0.08704705748081297,5.891248839358976,-235.22727272727272,-22.32993810827082
15_6,"['14_53', '14_61']",1,0.08667462452896145,4.700029831687761,-36.81818181818182,-28.278298031200062
15_29,"['14_65', '14_68']",1,0.08433039423519756,7.378292066539232,-45.0,-43.93747225674716
15_20,"['13_75', '13_75']",1,0.08087971139753482,7.917560775674952,-61.36363636363637,-23.89722659371116
15_63,"['14_17', '10_48']",1,0.08017797280836444,6.329434393184898,-241.36363636363637,-22.450654896822844
15_16,"['14_68', '14_25']",1,0.07837405882284752,4.337249650732319,-19.09090909090909,-30.69988337430087
14_76,"['13_9', '0_41']",1,0.07405221530033565,5.122207373804636,-40.90909090909091,-43.67127869345925
15_88,"['13_70', '13_70']",1,0.05442839816279815,7.368451125785109,-46.36363636363637,-39.25094153664329
15_5,"['14_76', '13_70']",1,0.05368224713647613,0.0,-0.0,-44.679518439553
15_51,"['14_88', '0_41']",1,0.05328242509435242,1.651187516520821,-19.09090909090909,-42.2260988408869
13_70,"['12_88', '12_53']",1,0.05183424251735212,8.406312880218616,-55.90909090909091,-39.13371190157804
15_26,"['10_2', '14_53']",1,0.04576872248944711,11.219295175877315,-84.54545454545455,-52.28390156139027
15_30,"['14_76', '10_2']",1,0.0444783892289863,0.05798703434960834,-0.0,-46.697466763583094
15_9,"['14_17', '10_73']",1,0.04286729341568714,1.9155636764748005,-21.818181818181817,-26.279771718111906
15_56,"['14_36', '10_73']",1,0.04138469665333584,1.30809580420847,-19.772727272727273,-21.91368475827304
15_43,"['14_32', '14_25']",1,0.03858585532946095,10.179630277510642,-79.0909090909091,-29.788905577226117
15_7,"['14_88', '14_88']",1,0.03808844074094779,10.59242664546849,-152.72727272727272,-22.58131538737904
15_79,"['10_73', '13_70']",1,0.03655468307521283,10.342587353165136,-75.68181818181819,-30.009924021634188
15_24,"['13_75', '10_73']",1,0.03557780236976281,7.200430807922846,-55.90909090909091,-26.539183790033515
15_60,"['13_75', '14_88']",1,0.03148484152882642,11.322972070882583,-101.5909090909091,-24.318892045454547
15_77,"['14_17', '10_73']",1,0.030794831926207755,1.3834086391974358,-14.318181818181818,-23.381800391457297
10_48,"['8_61', '9_58']",1,0.025405981751235374,7.035865874093167,-280.90909090909093,-22.379514260725543
15_18,"['14_83', '14_88']",1,0.02474666705043444,10.118846012459056,-101.5909090909091,-23.869747682051226
15_67,"['14_76', '13_70']",1,0.023550180756465155,0.0,-0.0,-29.057318860834297
15_23,"['13_75', '10_73']",1,0.02150514371881254,11.03542018843102,-92.04545454545455,-23.92984286221591
15_17,"['10_2', '10_73']",1,0.020342832219720986,0.5049906328617516,-0.6818181818181818,-41.56232365694913
15_53,"['10_48', '14_23']",1,0.020123773359200365,1.398528853442432,-20.454545454545453,-26.246277288957074
15_81,"['10_73', '10_48']",1,0.01929797533219083,1.3384127195796058,-16.363636363636363,-22.873831055381082
15_12,"['14_15', '0_41']",1,0.018515648888855547,0.0,-0.0,-54.673270832408555
15_40,"['13_62', '14_32']",1,0.015476043062711692,0.5049906328617516,-1.3636363636363635,-29.198129307140004
15_49,"['14_17', '14_65']",1,0.015132728160968112,0.5049906328617516,-0.6818181818181818,-28.42625210501931
15_55,"['0_41', '0_41']",1,0.004910651924530349,0.0,-0.0,-54.832181410356
15_10,"['14_5', '14_26']",2,0.09262815702504956,11.340460190430091,-85.22727272727273,-51.41887820850719
15_32,"['14_46', '14_26']",2,0.07862012211999934,8.327464598672968,-75.68181818181819,-48.433888695456766
15_62,"['10_73', '13_70']",2,0.0761372027895164,2.3700116311176984,-22.5,-33.19012572548606
15_44,"['10_48', '14_4']",2,0.07235352612952461,5.271528621181329,-60.68181818181818,-34.68581251664595
15_11,"['14_65', '14_76']",2,0.06890967342997462,11.299391847955151,-114.54545454545455,-47.606412714177914
15_45,"['14_44', '14_88']",2,0.0668500907023247,9.109927255405792,-118.63636363636364,-28.070816560225055
