cand_id,parents,rank,distance,yield,irrigation,smts,max_irr_season
8_17,"['6_37', '6_37']",1,inf,14.408503889106747,-315.0,"[61.767506, 72.45271, 38.460846, 51.695015]",441.40570068359375
5_83,"['0_0', '4_33']",1,inf,10.811224416047088,-2.244288206100464,"[26.45281, 28.165869, 38.457973, 36.144382]",2.244288206100464
10_53,"['9_84', '9_21']",1,0.15647036068342238,11.602731742082067,-22.61824607849121,"[32.776005, 34.69183, 45.208065, 24.456432]",22.61824607849121
9_58,"['8_22', '8_24']",1,0.11288770992072224,12.775395062671114,-59.07929992675781,"[39.941795, 47.430584, 46.961452, 30.933914]",59.07929992675781
10_38,"['8_37', '9_21']",1,0.09372271686924438,11.82413919141755,-28.62541961669922,"[39.345654, 45.32173, 43.96931, 39.03677]",28.62541961669922
9_20,"['8_87', '8_32']",1,0.0919822179740174,13.114648663740837,-75.29153442382812,"[28.829214, 45.720966, 51.31073, 31.625153]",75.29153442382812
10_47,"['9_86', '5_83']",1,0.08494122470093574,12.073512142481608,-35.87785720825195,"[26.211262, 30.259895, 39.988094, 44.147034]",35.87785720825195
10_7,"['9_72', '5_83']",1,0.07505295347047708,11.148575923783168,-11.602313041687012,"[25.874636, 37.239677, 54.751427, 31.865803]",11.602313041687012
10_78,"['8_37', '9_26']",1,0.07288519172877317,12.476360300225448,-47.52634811401367,"[38.99129, 39.990612, 52.48753, 28.60077]",47.52634811401367
10_29,"['9_25', '9_9']",1,0.06991449503419869,12.195606316937877,-39.028709411621094,"[29.892952, 40.52173, 37.504925, 33.716125]",39.028709411621094
10_81,"['9_86', '9_25']",1,0.06726082698105426,12.369285583550953,-44.584228515625,"[29.01384, 42.281464, 48.27075, 41.756397]",44.584228515625
10_50,"['9_9', '9_45']",1,0.06567111862440878,12.5610650301271,-50.70896530151367,"[33.176178, 33.24461, 42.39339, 32.974842]",50.70896530151367
10_16,"['9_21', '9_84']",1,0.06518405765944149,11.922861555352483,-33.72267532348633,"[28.894794, 43.089638, 35.92264, 26.188549]",33.72267532348633
10_20,"['9_14', '9_20']",1,0.06448441451086187,13.177663077333584,-80.00584411621094,"[32.48439, 51.613033, 44.38463, 28.650644]",80.00584411621094
10_40,"['9_55', '9_54']",1,0.058677178766836945,14.362384927721214,-285.0,"[65.32963, 59.97219, 41.670464, 43.394184]",394.99017333984375
9_63,"['8_17', '5_83']",1,0.057714287809085024,13.820277895183533,-139.47108459472656,"[37.75664, 48.332123, 51.5543, 49.639317]",139.47108459472656
10_61,"['9_20', '9_51']",1,0.05721753439757914,12.288718387902422,-42.80100631713867,"[32.95726, 53.847874, 55.178154, 23.347023]",42.80100631713867
10_49,"['9_58', '9_13']",1,0.05601021631856255,14.162334033942797,-196.89886474609375,"[40.632607, 53.74366, 50.296486, 28.24845]",196.89886474609375
10_10,"['9_13', '9_15']",1,0.05183073079677433,14.34911957566151,-225.0,"[46.283577, 70.866005, 37.665146, 33.888294]",393.8412170410156
10_33,"['9_13', '8_17']",1,0.051017269213433865,14.407952363277321,-300.0,"[62.091816, 74.69332, 35.827595, 49.570526]",441.2271728515625
10_2,"['9_78', '9_84']",1,0.046425945585707444,11.038134276436422,-8.752800941467285,"[30.470598, 31.969109, 36.435127, 43.966908]",8.752800941467285
10_65,"['9_55', '9_76']",1,0.04633775083397722,14.00332457469028,-157.1606903076172,"[35.675766, 52.5673, 51.019447, 35.898968]",157.1606903076172
10_19,"['8_37', '9_58']",1,0.046237839277469786,14.082635986659264,-175.80014038085938,"[44.175632, 51.186325, 47.390247, 37.232952]",175.80014038085938
10_24,"['9_76', '8_24']",1,0.042875000172001534,14.209185801855318,-210.0,"[58.49926, 33.380608, 35.854088, 24.349264]",225.5781707763672
10_67,"['8_37', '8_24']",1,0.04137973732723314,13.343630880515395,-87.53531646728516,"[38.732727, 52.58144, 51.371037, 34.14532]",87.53531646728516
8_24,"['7_39', '7_23']",1,0.041281965318983926,14.122967460741428,-181.78955078125,"[59.8704, 50.21457, 40.433544, 26.273527]",181.78955078125
10_21,"['9_55', '9_20']",1,0.037618595543969166,14.152042287609463,-190.0994873046875,"[40.530113, 36.15316, 57.649696, 30.255009]",190.0994873046875
10_35,"['5_83', '9_58']",1,0.035504284653264,11.132703974845787,-11.395824432373047,"[26.502132, 41.688805, 42.33726, 46.83599]",11.395824432373047
10_45,"['8_34', '9_58']",1,0.03539997112158003,13.443027964317743,-93.74696350097656,"[39.21103, 53.532516, 50.233032, 28.189627]",93.74696350097656
10_3,"['9_45', '9_70']",1,0.0286760711884999,13.678782252492576,-120.00765228271484,"[40.783794, 50.75957, 49.05435, 52.614124]",120.00765228271484
10_88,"['9_15', '9_25']",1,0.028401351424887672,13.718001548201258,-122.78318786621094,"[35.8722, 42.550476, 46.0484, 32.160404]",122.78318786621094
10_72,"['9_19', '5_83']",1,0.027477596730694553,10.827338678449951,-2.5822739601135254,"[30.557991, 41.432846, 33.531208, 31.466242]",2.5822739601135254
10_52,"['9_45', '5_83']",1,0.025426614701334872,10.923227774275974,-5.3380303382873535,"[25.044342, 30.9413, 39.770046, 38.02912]",5.3380303382873535
10_15,"['9_9', '9_84']",1,0.025288153089304766,11.892194883417394,-30.076148986816406,"[33.229454, 41.577274, 43.140285, 43.747906]",30.076148986816406
10_77,"['9_60', '9_63']",1,0.024153936278391738,10.954847885427625,-6.336665153503418,"[38.751835, 43.47567, 46.068764, 30.938822]",6.336665153503418
10_6,"['9_84', '5_83']",1,0.02201677803710146,10.889453095371,-4.042757034301758,"[26.282808, 32.49417, 36.669792, 36.48512]",4.042757034301758
10_28,"['9_9', '9_9']",1,0.020009682977382717,11.90010629460773,-30.564559936523438,"[33.99013, 46.647366, 44.29619, 41.721077]",30.564559936523438
10_5,"['9_45', '9_70']",1,0.01908943181892664,13.731185408292781,-125.81706237792969,"[38.01217, 64.45747, 51.388264, 48.364292]",125.81706237792969
10_8,"['9_78', '9_78']",1,0.01870083702121695,10.989711808268758,-8.008025169372559,"[32.005646, 36.160236, 41.33093, 37.318165]",8.008025169372559
10_34,"['9_63', '9_63']",1,0.017665345360968875,13.819839841131042,-139.41009521484375,"[37.222473, 47.019024, 51.86459, 50.09878]",139.41009521484375
10_59,"['9_70', '9_76']",1,0.016744984060465387,14.297726954901405,-225.0,"[53.35154, 53.863472, 46.467464, 30.889025]",288.08734130859375
10_75,"['5_83', '9_55']",1,0.015033854131028259,10.986494879576798,-7.392787456512451,"[24.288942, 29.414606, 47.758858, 41.006695]",7.392787456512451
10_46,"['9_20', '8_24']",1,0.014301037163618302,14.10941635893061,-176.61402893066406,"[44.20504, 51.058662, 44.2499, 40.093117]",176.61402893066406
10_23,"['5_83', '9_25']",1,0.013528622533538811,10.889617001021513,-4.054573059082031,"[24.794235, 31.35618, 36.446095, 51.504906]",4.054573059082031
10_37,"['9_63', '9_20']",1,0.010962185553305848,13.628139288073015,-106.005859375,"[32.592808, 46.92525, 55.164154, 32.465366]",106.005859375
10_9,"['9_13', '9_76']",1,0.010598360638543731,14.325632488006029,-225.0,"[52.135433, 60.713047, 33.644485, 29.025507]",348.2193908691406
10_51,"['8_34', '9_76']",1,0.008681923432318606,14.177123775321217,-210.0,"[40.331406, 52.882057, 47.00188, 25.786427]",263.3066711425781
10_60,"['9_58', '9_54']",1,0.007665008233087744,13.78999681195094,-126.20289611816406,"[37.99616, 52.402306, 40.27643, 27.094341]",126.20289611816406
10_80,"['5_83', '5_83']",1,0.0055593740310621274,10.811257484454568,-2.246173858642578,"[26.430565, 28.09774, 38.56149, 36.784737]",2.246173858642578
10_17,"['9_19', '8_37']",2,inf,10.810529399349535,-10.098340034484863,"[41.758907, 37.50249, 45.52342, 41.638424]",10.098340034484863
10_44,"['9_45', '9_55']",2,0.11140637006012949,12.579736941181185,-61.394710540771484,"[41.11786, 33.825237, 51.784157, 36.016457]",61.394710540771484
10_18,"['9_20', '9_54']",2,0.0792949435346291,13.987487524798167,-165.2238006591797,"[46.610527, 55.415195, 41.514717, 38.285984]",165.2238006591797
10_70,"['8_37', '5_83']",2,0.07161117569649285,11.64077943576358,-36.580055236816406,"[41.82089, 54.28451, 53.572567, 37.727062]",36.580055236816406
10_64,"['8_24', '8_37']",2,0.06263856844154879,13.060817834917122,-81.58999633789062,"[41.47008, 44.284344, 52.431618, 30.080635]",81.58999633789062
10_66,"['8_24', '8_37']",2,0.061673350404013665,13.424935366077854,-102.05020141601562,"[43.888927, 33.14374, 50.506573, 31.635412]",102.05020141601562
10_89,"['9_20', '9_76']",2,0.05393058917788861,13.810349195047253,-154.05587768554688,"[56.833088, 51.39845, 46.29469, 19.400011]",154.05587768554688
10_55,"['9_14', '9_55']",2,0.05365005407748398,14.123681303996138,-210.0,"[42.54259, 37.4893, 49.515717, 31.202606]",332.0015869140625
10_86,"['9_54', '9_76']",2,0.05226021871632623,14.31032822153316,-285.0,"[56.419353, 59.459835, 38.77721, 44.10839]",411.4114074707031
10_12,"['9_63', '9_54']",2,0.051735904880365134,14.166005139908362,-240.0,"[43.49423, 60.663406, 51.091812, 38.247498]",296.7391052246094
10_79,"['8_37', '9_70']",2,0.03821827280702879,13.995455923507926,-166.7332000732422,"[33.7355, 46.406097, 58.777035, 29.999872]",166.7332000732422
9_55,"['8_34', '8_32']",2,0.036719377445439426,13.597475431647304,-107.0376205444336,"[39.785378, 32.002888, 52.11423, 33.92953]",107.0376205444336
10_26,"['9_76', '8_34']",2,0.03538138390457979,14.304361752853621,-240.0,"[59.285866, 59.688644, 47.8242, 33.87345]",341.9020690917969
10_76,"['9_45', '9_45']",2,0.03295347723339009,13.277071116699071,-94.02294158935547,"[44.013794, 37.490063, 48.79659, 40.508213]",94.02294158935547
10_69,"['9_45', '8_37']",2,0.03192259914275396,13.625534721990006,-113.43375396728516,"[36.68663, 52.338314, 51.759167, 39.124184]",113.43375396728516
9_45,"['8_37', '8_60']",2,0.0285112972625825,13.274203776109411,-93.84363555908203,"[43.953876, 37.606617, 48.858047, 40.52167]",93.84363555908203
10_82,"['9_58', '9_63']",2,0.023991309097681317,14.0881962647878,-177.33204650878906,"[44.12388, 56.57302, 61.363983, 29.008123]",177.33204650878906
10_74,"['9_76', '8_24']",2,0.014721380604591482,14.310163126450496,-270.0,"[64.87962, 57.73024, 40.069664, 42.716156]",374.04376220703125
